# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
1.168084470542e+01	3.111524211439e-05	7.920667390664e-06	1.193275911008e-06	1.309809128818e-07	1.050409318894e-08	5.641171813456e-10	1.724567655306e-11	2.256481052660e-13	6.904612904226e-16	8.316632581274e-20	1.515223851519e-05	7.401393257412e-06	1.959387750008e-06	3.309927616399e-07	3.574810684335e-08	2.217368596947e-09	6.137141467923e-11	4.278418405228e-13	1.369991470657e-16	9.644627684069e-06	5.668735855377e-06	1.883589563292e-06	3.723515637440e-07	4.117010738857e-08	2.070872150437e-09	2.823920206613e-11	2.101916886036e-14	6.815162881803e-06	4.319192939541e-06	1.546482687028e-06	3.004872820455e-07	2.656861279867e-08	6.715747593133e-10	1.098019622412e-12	5.070994056789e-06	3.286953769830e-06	1.141255894633e-06	1.809198077131e-07	8.539609740453e-09	3.049966066295e-11	3.867782699231e-06	2.461098262442e-06	7.304680891150e-07	6.773765843624e-08	5.550232988656e-10	2.967623190253e-06	1.751254985617e-06	3.473526027301e-07	7.266443049138e-09	2.234966580764e-06	1.079545561105e-06	6.854810802771e-08	1.561876650428e-06	4.008701637688e-07	6.754834067917e-07
1.593759367225e+01	3.014820459939e-05	8.521916637925e-06	1.326329484906e-06	1.485967430902e-07	1.209810421466e-08	6.576831389299e-10	2.032085800954e-11	2.685526767097e-13	8.300938704092e-16	1.011674938658e-19	1.675794443646e-05	8.355247381763e-06	2.246130109205e-06	3.841764711136e-07	4.193525113861e-08	2.625976378664e-09	7.333279840370e-11	5.158708661624e-13	1.669461549665e-16	1.103369021047e-05	6.558948667022e-06	2.201064105057e-06	4.390341766735e-07	4.895288313962e-08	2.482416145008e-09	3.413318685437e-11	2.565486133527e-14	7.952803464910e-06	5.080056409195e-06	1.832538782489e-06	3.586640539277e-07	3.194342847569e-08	8.135948429971e-10	1.342267625734e-12	6.001984779054e-06	3.914546025098e-06	1.367599363183e-06	2.181854564721e-07	1.036935919624e-08	3.734307712845e-11	4.629805560556e-06	2.961450817065e-06	8.838421888804e-07	8.245867459256e-08	6.807184689353e-10	3.586704356787e-06	2.126698267257e-06	4.240674456990e-07	8.929822744120e-09	2.725247731971e-06	1.322540951291e-06	8.445282223168e-08	1.921618129203e-06	4.956546956365e-07	8.400573367284e-07
2.174559276041e+01	2.670494902922e-05	8.474489588858e-06	1.379573422445e-06	1.590311576049e-07	1.322168088294e-08	7.309203023432e-10	2.291356369425e-11	3.069298214634e-13	9.616921572861e-16	1.190712147906e-19	1.731044462238e-05	8.880475418904e-06	2.438808776424e-06	4.243549943107e-07	4.700002744519e-08	2.981331040405e-09	8.426366060355e-11	6.000065296281e-13	1.969564438239e-16	1.194656828661e-05	7.213611988750e-06	2.453901164078e-06	4.954908766086e-07	5.587910844052e-08	2.864730058431e-09	3.983133324131e-11	3.033187033302e-14	8.849508699074e-06	5.713986472990e-06	2.082177395910e-06	4.115279356727e-07	3.701055697834e-08	9.523250631131e-10	1.590295850391e-12	6.808870249318e-06	4.477987088585e-06	1.577512769510e-06	2.538354605241e-07	1.217508847250e-08	4.433784232274e-11	5.332589015339e-06	3.435070651641e-06	1.032824616235e-06	9.714578363870e-08	8.100887882962e-10	4.184982647005e-06	2.497372307243e-06	5.015508043410e-07	1.065551036299e-08	3.217905980021e-06	1.571507756394e-06	1.011165025991e-07	2.296525915048e-06	5.963087277120e-07	1.018503342636e-06
2.967015060279e+01	2.152667351146e-05	7.570434966097e-06	1.306019989837e-06	1.565482807238e-07	1.340123438764e-08	7.584820760303e-10	2.426602353745e-11	3.312318333829e-13	1.057601241335e-15	1.338170606721e-19	1.623706277513e-05	8.658925593239e-06	2.449567733095e-06	4.366048050153e-07	4.935403986077e-08	3.187666164508e-09	9.161818212544e-11	6.634339542373e-13	2.220623168016e-16	1.195213264250e-05	7.376866205847e-06	2.557784986298e-06	5.253993308156e-07	6.019997296903e-08	3.133417663328e-09	4.424250880674e-11	3.429850893097e-14	9.199538409510e-06	6.030280722229e-06	2.228762019728e-06	4.465458650105e-07	4.070640133593e-08	1.062245716972e-09	1.803376359651e-12	7.272167378634e-06	4.838659008002e-06	1.724396780578e-06	2.807692681131e-07	1.363800246355e-08	5.042364872859e-11	5.817225502564e-06	3.783948849436e-06	1.149402100698e-06	1.093213497288e-07	9.241477221256e-10	4.647727105462e-06	2.797951388051e-06	5.674092813807e-07	1.219977677176e-08	3.632347366594e-06	1.789122659615e-06	1.163010316166e-07	2.634846033017e-06	6.902968975106e-07	1.191396479014e-06
4.048258635629e+01	1.634838431889e-05	6.011960071386e-06	1.096032271473e-06	1.375441854094e-07	1.222435896209e-08	7.140950598065e-10	2.349564991357e-11	3.292853857401e-13	1.079686401848e-15	1.408482533239e-19	1.349356858443e-05	7.519755089357e-06	2.208159842227e-06	4.063318093958e-07	4.723087186077e-08	3.128034035024e-09	9.204379336885e-11	6.824877037113e-13	2.347908700909e-16	1.071923986625e-05	6.809377258241e-06	2.422925592839e-06	5.096345954326e-07	5.970368655452e-08	3.174582707289e-09	4.580561841183e-11	3.641380690820e-14	8.682566070170e-06	5.810939252191e-06	2.190492680332e-06	4.473573856520e-07	4.156404519107e-08	1.106306434101e-09	1.922231861352e-12	7.125256475676e-06	4.818877073949e-06	1.745523500387e-06	2.889823896414e-07	1.428860416950e-08	5.396439218113e-11	5.871571317433e-06	3.872098684674e-06	1.193228648771e-06	1.152813926128e-07	9.933520021009e-10	4.810895770604e-06	2.932171442332e-06	6.028095329896e-07	1.317974588230e-08	3.846921398019e-06	1.917637534914e-06	1.264463240566e-07	2.854821000747e-06	7.572764599803e-07	1.325981683099e-06
5.523530433110e+01	1.226322572354e-05	4.529425205645e-06	8.309899985949e-07	1.071317918908e-07	9.833917445584e-09	5.936146785407e-10	2.017905989071e-11	2.923101452809e-13	9.926736211889e-16	1.350373885459e-19	1.019754476854e-05	5.809373887249e-06	1.757134655745e-06	3.336263797887e-07	4.000549102475e-08	2.731403352910e-09	8.283927341215e-11	6.340242945255e-13	2.265286714427e-16	8.490687669055e-06	5.543366351421e-06	2.028314159855e-06	4.387036366458e-07	5.284134918428e-08	2.889212166279e-09	4.292735904844e-11	3.533478857760e-14	7.238278210967e-06	4.962401737103e-06	1.916546373595e-06	4.011516240528e-07	3.822562810718e-08	1.045274273528e-09	1.875705776416e-12	6.209948599228e-06	4.287961899258e-06	1.586774015212e-06	2.686606385831e-07	1.361211966748e-08	5.295766534713e-11	5.317156919772e-06	3.571538634418e-06	1.122424147607e-06	1.108174361919e-07	9.808015855161e-10	4.507324397434e-06	2.794333947716e-06	5.855164231035e-07	1.310612611885e-08	3.720258168661e-06	1.885889865485e-06	1.268756323665e-07	2.850655846603e-06	7.695448879766e-07	1.375289592330e-06
7.536422741615e+01	8.624856502217e-06	3.531616765065e-06	6.384394353309e-07	8.056955032189e-08	7.343117907383e-09	4.460382279556e-10	1.541420709323e-11	2.288347919598e-13	8.029755224238e-16	1.144317311007e-19	7.872032141962e-06	4.389692075922e-06	1.313390490789e-06	2.498301456656e-07	3.032022543625e-08	2.110748370106e-09	6.564198400001e-11	5.184526227934e-13	1.934222694695e-16	6.350939294133e-06	4.144005017613e-06	1.528707016440e-06	3.356867759579e-07	4.127093184248e-08	2.313775759697e-09	3.543893978345e-11	3.038332252800e-14	5.445790432652e-06	3.778151514558e-06	1.483331250706e-06	3.168545954483e-07	3.093375521902e-08	8.708744708608e-10	1.624065878704e-12	4.792195527728e-06	3.364026625300e-06	1.269335423129e-06	2.198827316473e-07	1.144950068089e-08	4.618116823403e-11	4.237810752551e-06	2.898869164593e-06	9.305176630970e-07	9.421197794421e-08	8.619870637407e-10	3.720018098446e-06	2.351356529335e-06	5.041132055733e-07	1.162467818817e-08	3.185882002281e-06	1.649139832265e-06	1.138678971516e-07	2.542289963408e-06	7.024435495731e-07	1.291093559710e-06
1.028285594298e+02	5.433774598566e-06	2.411139008533e-06	4.830053774757e-07	6.341761995458e-08	5.772098802699e-09	3.446185647704e-10	1.168181478749e-11	1.709733754338e-13	5.977107846405e-16	8.653547307020e-20	5.865888201450e-06	3.435212445279e-06	1.035377499077e-06	1.944127476008e-07	2.316200992561e-08	1.586820728271e-09	4.889628675638e-11	3.866005656481e-13	1.469147635593e-16	5.010555405182e-06	3.239716782986e-06	1.176087089719e-06	2.541260707682e-07	3.087026044354e-08	1.721952872661e-09	2.649554887456e-11	2.318132175970e-14	4.200256234668e-06	2.872599526374e-06	1.114259398366e-06	2.362067123595e-07	2.303208751935e-08	6.533008676202e-10	1.245006660629e-12	3.605805061029e-06	2.512148093650e-06	9.447229202654e-07	1.640241360069e-07	8.626118620889e-09	3.558776495581e-11	3.154667455135e-06	2.159045557366e-06	6.967508392206e-07	7.138734237323e-08	6.682848726888e-10	2.781174266448e-06	1.771887299249e-06	3.850126779234e-07	9.080729831010e-09	2.424672981346e-06	1.273701542250e-06	8.987470689973e-08	1.995582443634e-06	5.634836872237e-07	1.067556158135e-06
1.403014798522e+02	3.392305022156e-06	1.520357021403e-06	2.974686262125e-07	4.120881676885e-08	4.064560758876e-09	2.594041789778e-10	9.153288981191e-12	1.357512211247e-13	4.697315123196e-16	6.603531914618e-20	3.609441286765e-06	2.189259020263e-06	7.099361772368e-07	1.430218994411e-07	1.789163255587e-08	1.255200027286e-09	3.875836575475e-11	3.018884072033e-13	1.115946199200e-16	3.396378020796e-06	2.342233333776e-06	8.944376128951e-07	1.993367291736e-07	2.449424272276e-08	1.359725450813e-09	2.056395014747e-11	1.753721979084e-14	3.174595861290e-06	2.238405054363e-06	8.819222951247e-07	1.873239743209e-07	1.809332708860e-08	5.040124752744e-10	9.383909365455e-13	2.849864945143e-06	1.993916017334e-06	7.463224267905e-07	1.280026925952e-07	6.613923961619e-09	2.673018892906e-11	2.495823171043e-06	1.693324232144e-06	5.392831479435e-07	5.437052305566e-08	5.002762357925e-10	2.158898185611e-06	1.358197116206e-06	2.910960585882e-07	6.775740011304e-09	1.838730040943e-06	9.556165304008e-07	6.686572100281e-08	1.487024089581e-06	4.186496397854e-07	7.986623075648e-07
1.914303317860e+02	1.972724513056e-06	9.355636217801e-07	1.954277387901e-07	2.672318719264e-08	2.506336008773e-09	1.560396479476e-10	5.635052967849e-12	8.909481432530e-14	3.359670793579e-16	5.130067281588e-20	2.352065540296e-06	1.434112312071e-06	4.451422762806e-07	8.649491544473e-08	1.085682575620e-08	7.953995007748e-10	2.630007873761e-11	2.212230398572e-13	8.737897884920e-17	2.145276293523e-06	1.425694091641e-06	5.392670585999e-07	1.232832357864e-07	1.597604993985e-08	9.486618797297e-10	1.535660881267e-11	1.381218170574e-14	1.911884276662e-06	1.369284962362e-06	5.611768106604e-07	1.260052966906e-07	1.295009474194e-08	3.823832610705e-10	7.423690041691e-13	1.799354309158e-06	1.316512136670e-06	5.192089921707e-07	9.394316519498e-08	5.088575365009e-09	2.121651725812e-11	1.719854360918e-06	1.220469589678e-06	4.056909284790e-07	4.236731669903e-08	3.979679343168e-10	1.611143357668e-06	1.045542498493e-06	2.293548792757e-07	5.394851598053e-09	1.442755499488e-06	7.589042089773e-07	5.316371131309e-08	1.183128171533e-06	3.307299944267e-07	6.192659522723e-07
