# ells	P1-E1	P1-E2	P1-E3	P1-E4	P1-E5	P1-E6	P1-E7	P1-E8	P1-E9	P1-E10	P2-E1	P2-E2	P2-E3	P2-E4	P2-E5	P2-E6	P2-E7	P2-E8	P2-E9	P2-E10	P3-E1	P3-E2	P3-E3	P3-E4	P3-E5	P3-E6	P3-E7	P3-E8	P3-E9	P3-E10	P4-E1	P4-E2	P4-E3	P4-E4	P4-E5	P4-E6	P4-E7	P4-E8	P4-E9	P4-E10	P5-E1	P5-E2	P5-E3	P5-E4	P5-E5	P5-E6	P5-E7	P5-E8	P5-E9	P5-E10	P6-E1	P6-E2	P6-E3	P6-E4	P6-E5	P6-E6	P6-E7	P6-E8	P6-E9	P6-E10	P7-E1	P7-E2	P7-E3	P7-E4	P7-E5	P7-E6	P7-E7	P7-E8	P7-E9	P7-E10	P8-E1	P8-E2	P8-E3	P8-E4	P8-E5	P8-E6	P8-E7	P8-E8	P8-E9	P8-E10	P9-E1	P9-E2	P9-E3	P9-E4	P9-E5	P9-E6	P9-E7	P9-E8	P9-E9	P9-E10	P10-E1	P10-E2	P10-E3	P10-E4	P10-E5	P10-E6	P10-E7	P10-E8	P10-E9	P10-E10
1.168084470542e+01	9.116669102418e-08	5.598398832551e-07	7.622486170768e-07	8.690060314428e-07	9.419125235195e-07	9.993371999673e-07	1.048470162449e-06	1.093651292605e-06	1.139388879108e-06	1.199479983783e-06	-4.035864077493e-08	-1.745300090788e-08	1.282024004271e-07	2.462295617162e-07	3.220294440160e-07	3.767732364972e-07	4.223583375238e-07	4.641043514902e-07	5.063514223807e-07	5.618561081736e-07	-6.973251665643e-09	-3.510843928703e-08	-1.360855572387e-08	6.380108628798e-08	1.408259129868e-07	1.974132445629e-07	2.407697314913e-07	2.790898969219e-07	3.176541518002e-07	3.683043151768e-07	-7.979138296353e-10	-1.098325611071e-08	-2.559745064685e-08	-1.004290587862e-08	4.029279422253e-08	9.628669653371e-08	1.412345196829e-07	1.780075280694e-07	2.137683431522e-07	2.605490540381e-07	-6.524023728452e-11	-1.966438528419e-09	-1.028745497261e-08	-1.899058695358e-08	-7.547483030827e-09	2.938935271467e-08	7.363760477255e-08	1.115002715395e-07	1.455980734367e-07	1.891161727914e-07	-3.541246974509e-12	-2.183952005113e-10	-2.181645161883e-09	-8.344795288986e-09	-1.434110376662e-08	-5.715686036862e-09	2.395110110085e-08	6.161297975010e-08	9.605460847103e-08	1.369248180702e-07	-1.089767687193e-13	-1.376503864494e-11	-2.496083531587e-10	-1.752750726893e-09	-6.160763861544e-09	-1.083762541597e-08	-4.254274420079e-09	2.170959928632e-08	5.658236042834e-08	9.612334876908e-08	-1.430880757746e-15	-3.848522318128e-13	-1.280809446047e-11	-1.610583881380e-10	-1.060031215468e-09	-3.992920130207e-09	-7.920591667300e-09	-2.897680643436e-09	2.244193082640e-08	6.202976888049e-08	-4.397137284852e-18	-2.706627247840e-15	-1.771261395357e-13	-4.164952560856e-12	-5.209899544629e-11	-4.019818574186e-10	-1.945840825297e-09	-5.100160673009e-09	-1.203362543580e-09	3.048604282637e-08	-5.303267227385e-22	-8.703462794430e-19	-1.330274268067e-16	-6.916728051240e-15	-1.908620999655e-13	-3.437314290833e-12	-4.416097873804e-11	-3.991574224060e-10	-1.992534731601e-09	3.886746007032e-09
1.593759367225e+01	5.825454599054e-08	5.019637047669e-07	7.064114187589e-07	8.138513426468e-07	8.868712666611e-07	9.443182887024e-07	9.934629904042e-07	1.038654413308e-06	1.084402400225e-06	1.144507168850e-06	-4.366369901107e-08	-2.188600544414e-08	1.371017798199e-07	2.681283757801e-07	3.525119391468e-07	4.133340503049e-07	4.639222022777e-07	5.102391993359e-07	5.571111424547e-07	6.186919958085e-07	-7.758911180314e-09	-3.982291490172e-08	-1.655920499083e-08	7.112753406178e-08	1.593234341221e-07	2.243122789878e-07	2.740550170452e-07	3.179763908648e-07	3.621681163746e-07	4.202085201620e-07	-9.055481514449e-10	-1.260496919250e-08	-2.974404964958e-08	-1.223560732998e-08	4.603803956877e-08	1.113851671581e-07	1.639765863832e-07	2.069717564417e-07	2.487516369452e-07	3.033994952431e-07	-7.515200456285e-11	-2.283346053397e-09	-1.203481543714e-08	-2.241902818581e-08	-9.239784074311e-09	3.419655847101e-08	8.656726401721e-08	1.314702857753e-07	1.718786383320e-07	2.234256845190e-07	-4.128922355101e-12	-2.562411098044e-10	-2.573393879830e-09	-9.898232886684e-09	-1.713268919158e-08	-7.035835965104e-09	2.829197638968e-08	7.338026926953e-08	1.146668240015e-07	1.636220040192e-07	-1.284136217049e-13	-1.630302403390e-11	-2.968461237752e-10	-2.092846237589e-09	-7.388700835930e-09	-1.307355555904e-08	-5.267878316766e-09	2.598738455679e-08	6.815333771459e-08	1.159817209897e-07	-1.702976187878e-15	-4.598824050236e-13	-1.535473300858e-11	-1.936685344757e-10	-1.278729361796e-09	-4.834303556086e-09	-9.636884387576e-09	-3.616367950139e-09	2.719743525886e-08	7.549737913908e-08	-5.286466008080e-18	-3.263586710370e-15	-2.141021340803e-13	-5.046012383304e-12	-6.326846815225e-11	-4.894366269818e-10	-2.376597409944e-09	-6.256478084750e-09	-1.535549417930e-09	3.740297914642e-08	-6.451151538369e-22	-1.060612581532e-18	-1.623701226342e-16	-8.455604381319e-15	-2.336976943919e-13	-4.216020369858e-12	-5.427545800298e-11	-4.918777420035e-10	-2.465723236596e-09	4.792808087588e-09
2.174559276041e+01	3.107063565348e-08	4.140746085481e-07	6.039982788468e-07	7.036111372443e-07	7.709061610925e-07	8.237652437192e-07	8.689754074148e-07	9.105481174842e-07	9.526327983602e-07	1.007924629859e-06	-4.373766923670e-08	-2.613454912547e-08	1.350912511567e-07	2.712040989204e-07	3.592344584739e-07	4.225122343436e-07	4.750558495174e-07	5.231469395717e-07	5.718127365722e-07	6.357503081465e-07	-8.081966235810e-09	-4.260200507433e-08	-1.938279969558e-08	7.425302956568e-08	1.698722967058e-07	2.406330973451e-07	2.947188502605e-07	3.424091190671e-07	3.903784204977e-07	4.533788680568e-07	-9.696117229129e-10	-1.370772234820e-08	-3.290286562789e-08	-1.439154479053e-08	4.974549027517e-08	1.224729308099e-07	1.812143145570e-07	2.291904685427e-07	2.757616173976e-07	3.366659796362e-07	-8.214875909826e-11	-2.523562727890e-09	-1.343757930137e-08	-2.534275306928e-08	-1.094792852302e-08	3.789595055419e-08	9.730625654010e-08	1.483856845651e-07	1.943071154101e-07	2.528480801670e-07	-4.589166160914e-12	-2.872594906217e-10	-2.905905237732e-09	-1.126167452622e-08	-1.968017455094e-08	-8.400987730586e-09	3.200494488967e-08	8.394841391255e-08	1.315969409040e-07	1.880375884047e-07	-1.448042249468e-13	-1.851130069756e-11	-3.389242374366e-10	-2.402451486750e-09	-8.532133057227e-09	-1.521475857875e-08	-6.342243912723e-09	2.993100093076e-08	7.916032061526e-08	1.350300154999e-07	-1.946372639555e-15	-5.284629256868e-13	-1.772142865922e-11	-2.244330898478e-10	-1.488215815718e-09	-5.653867052500e-09	-1.134505612389e-08	-4.400604382739e-09	3.184940814639e-08	8.892664042346e-08	-6.124684389573e-18	-3.795964149879e-15	-2.498547353448e-13	-5.906869466111e-12	-7.429591965380e-11	-5.767584006521e-10	-2.812413830232e-09	-7.447469261860e-09	-1.923127883922e-09	4.453250339409e-08	-7.592786430719e-22	-1.251284996776e-18	-1.919762652108e-16	-1.001846268051e-14	-2.774872958887e-13	-5.017675329613e-12	-6.477281375542e-11	-5.891026657213e-10	-2.969747973568e-09	5.745168674136e-09
2.967015060279e+01	1.535044520444e-08	3.175984346878e-07	4.774761024793e-07	5.615407416859e-07	6.179777066128e-07	6.622217636548e-07	7.000528394922e-07	7.348393725891e-07	7.700542726494e-07	8.163204258895e-07	-3.939675397791e-08	-2.850217510820e-08	1.189993839958e-07	2.477789481412e-07	3.316220423789e-07	3.916755425606e-07	4.414240120673e-07	4.869339924156e-07	5.329856878991e-07	5.934887324896e-07	-7.665442719625e-09	-4.189656007909e-08	-2.133137127192e-08	7.053143643620e-08	1.663980666598e-07	2.377920949875e-07	2.922616722961e-07	3.401954015179e-07	3.883881506879e-07	4.516800557930e-07	-9.551140923889e-10	-1.379778080940e-08	-3.391383542607e-08	-1.606239537517e-08	4.958292043556e-08	1.252129791595e-07	1.866173286518e-07	2.367025346890e-07	2.852481625879e-07	3.487188775920e-07	-8.328855636346e-11	-2.598432302581e-09	-1.403576856724e-08	-2.692910610385e-08	-1.237551733122e-08	3.914851703324e-08	1.026039171133e-07	1.573769898693e-07	2.065526635501e-07	2.691831857623e-07	-4.762881860652e-12	-3.017499817056e-10	-3.083652323532e-09	-1.207680490121e-08	-2.138666012399e-08	-9.608500546664e-09	3.403985647310e-08	9.072337327429e-08	1.428514289459e-07	2.045100924866e-07	-1.533607351258e-13	-1.979561008718e-11	-3.652496139385e-10	-2.608603591034e-09	-9.340681406264e-09	-1.683614628128e-08	-7.339431987246e-09	3.264674904185e-08	8.736719169455e-08	1.495152018689e-07	-2.100542928630e-15	-5.746373074624e-13	-1.938658076015e-11	-2.469116772040e-10	-1.646970564448e-09	-6.299179775823e-09	-1.275397677014e-08	-5.166181637537e-09	3.554727229833e-08	1.000478637543e-07	-6.735733193526e-18	-4.197418799935e-15	-2.775427183081e-13	-6.589352867527e-12	-8.323839421710e-11	-6.492708487776e-10	-3.184134859950e-09	-8.498993053550e-09	-2.341101530481e-09	5.083607982377e-08	-8.533067267188e-22	-1.410816087000e-18	-2.170907732848e-16	-1.136147674373e-14	-3.155996995928e-13	-5.724779348990e-12	-7.417340076833e-11	-6.778304083703e-10	-3.442944437040e-09	6.617809070637e-09
4.048258635629e+01	7.272630499821e-09	2.346487938339e-07	3.581626827914e-07	4.235809610988e-07	4.673415358105e-07	5.015908239445e-07	5.308675140751e-07	5.577874209451e-07	5.850387946906e-07	6.208422815757e-07	-3.145959240480e-08	-2.651877729802e-08	9.279177398041e-08	2.010473714846e-07	2.722217588905e-07	3.230180390762e-07	3.649730729952e-07	4.033275177792e-07	4.421359262038e-07	4.931225685945e-07	-6.445427358498e-09	-3.673206411757e-08	-2.116714667015e-08	5.913291474424e-08	1.454049215773e-07	2.102482817341e-07	2.596159157085e-07	3.029420142306e-07	3.464742951981e-07	4.036428700673e-07	-8.398473118839e-10	-1.247129586212e-08	-3.161853082165e-08	-1.650230826655e-08	4.413339904082e-08	1.155679422058e-07	1.740093753816e-07	2.215992805228e-07	2.676282566665e-07	3.277865739941e-07	-7.600279543068e-11	-2.420746132337e-09	-1.333277485391e-08	-2.618703840607e-08	-1.302570839060e-08	3.657970832061e-08	9.876711174508e-08	1.527575223971e-07	2.011420298518e-07	2.626813620583e-07	-4.484989818579e-12	-2.889025883913e-10	-2.994232510930e-09	-1.189953549123e-08	-2.146531933194e-08	-1.031292085857e-08	3.313437969312e-08	9.038175073933e-08	1.432240141044e-07	2.056022131773e-07	-1.485042377187e-13	-1.942955952451e-11	-3.624011870772e-10	-2.615747872132e-09	-9.475009403963e-09	-1.733648305740e-08	-8.020312077416e-09	3.293678464497e-08	8.965358704478e-08	1.541418397243e-07	-2.088284913025e-15	-5.773788739072e-13	-1.964565098304e-11	-2.522107468235e-10	-1.696372124876e-09	-6.549746935672e-09	-1.342912631998e-08	-5.762565230366e-09	3.705192526411e-08	1.054762287431e-07	-6.876764763249e-18	-4.318249627746e-15	-2.873753597209e-13	-6.863713896945e-12	-8.723211178475e-11	-6.850022004394e-10	-3.386382230087e-09	-9.139572478873e-09	-2.737771907474e-09	5.469599155745e-08	-8.981428773623e-22	-1.491732764273e-18	-2.304930530146e-16	-1.211127809215e-14	-3.377978613265e-13	-6.154409392734e-12	-8.015136870628e-11	-7.373548731958e-10	-3.784747127764e-09	7.209465390312e-09
5.523530433110e+01	-5.067999875291e-10	1.688091247433e-07	2.616838057573e-07	3.109009491983e-07	3.438412237593e-07	3.696123374555e-07	3.916391172395e-07	4.118924417958e-07	4.323951317297e-07	4.593320409289e-07	-2.365479013286e-08	-2.010276864798e-08	6.920449418913e-08	1.516021815005e-07	2.062731587174e-07	2.452613087604e-07	2.773975276255e-07	3.067585486332e-07	3.364651406360e-07	3.754936801051e-07	-4.889734447194e-09	-2.851997673468e-08	-1.787535412318e-08	4.428870570762e-08	1.129153933907e-07	1.650529752876e-07	2.047001533760e-07	2.393971379973e-07	2.742330611378e-07	3.199784545022e-07	-6.545221379935e-10	-9.945764143025e-09	-2.597335370344e-08	-1.485917374392e-08	3.446738957153e-08	9.410929202397e-08	1.433901065869e-07	1.834624658544e-07	2.221192470244e-07	2.726178744341e-07	-6.116185975704e-11	-1.989651604119e-09	-1.119439858518e-08	-2.258910202124e-08	-1.225538616680e-08	3.002825734422e-08	8.426497953122e-08	1.317329988327e-07	1.741823307004e-07	2.280745649042e-07	-3.729041567360e-12	-2.448350617653e-10	-2.580639662750e-09	-1.044313778141e-08	-1.928248505359e-08	-1.003569093900e-08	2.858261570237e-08	8.048176828754e-08	1.286459802678e-07	1.853513160844e-07	-1.275540320332e-13	-1.697046900886e-11	-3.209263864745e-10	-2.348312914169e-09	-8.636597304765e-09	-1.612093791726e-08	-8.035601166329e-09	2.978415275791e-08	8.303287374582e-08	1.436855938108e-07	-1.853880994095e-15	-5.197209260494e-13	-1.788477459284e-11	-2.320699909489e-10	-1.578593333538e-09	-6.174199558814e-09	-1.287935440615e-08	-5.954507120314e-09	3.504185908246e-08	1.013821590106e-07	-6.322971844776e-18	-4.011934950123e-15	-2.693501460254e-13	-6.486357565047e-12	-8.313131930168e-11	-6.589137420680e-10	-3.294024905576e-09	-9.029107695820e-09	-3.011056420728e-09	5.408596276169e-08	-8.610826116913e-22	-1.439293161943e-18	-2.236796826012e-16	-1.181941131649e-14	-3.315447500079e-13	-6.077921712141e-12	-7.973128169030e-11	-7.404153701048e-10	-3.857060608674e-09	7.252478487590e-09
7.536422741615e+01	-5.000913646906e-09	1.107563477567e-07	1.795410788196e-07	2.156453226587e-07	2.397028531093e-07	2.585147481967e-07	2.745927039536e-07	2.893761014322e-07	3.043415126640e-07	3.240034166471e-07	-1.850976121440e-08	-1.529473142859e-08	5.440972038408e-08	1.174940230249e-07	1.592113701824e-07	1.890346129838e-07	2.136416650895e-07	2.361258403003e-07	2.588745653518e-07	2.887618373829e-07	-3.753483426146e-09	-2.145586787066e-08	-1.295896394628e-08	3.371977527733e-08	8.507488116369e-08	1.242152534421e-07	1.540275847891e-07	1.801065810784e-07	2.062825223584e-07	2.406548111271e-07	-4.920882956455e-10	-7.429717750651e-09	-1.941154851596e-08	-1.132026168451e-08	2.543391435967e-08	7.037789727524e-08	1.077746176959e-07	1.381929371825e-07	1.674904177966e-07	2.057484533771e-07	-4.566990226825e-11	-1.490176472832e-09	-8.445070414123e-09	-1.727711199304e-08	-9.856181039348e-09	2.224410589804e-08	6.415148726672e-08	1.011140473740e-07	1.341300996970e-07	1.759772177122e-07	-2.802207213208e-12	-1.856099430997e-10	-1.976073870958e-09	-8.099220260236e-09	-1.523547825992e-08	-8.455591908192e-09	2.178104747892e-08	6.321579318308e-08	1.019121014888e-07	1.473564128664e-07	-9.744151222725e-14	-1.311691567846e-11	-2.507669912116e-10	-1.856680624832e-09	-6.925620634638e-09	-1.318536624350e-08	-7.063381930818e-09	2.365167756648e-08	6.773007027378e-08	1.180676860774e-07	-1.451384310813e-15	-4.118891038978e-13	-1.432665716001e-11	-1.878939570662e-10	-1.293253618995e-09	-5.130152552929e-09	-1.091350467931e-08	-5.472125894567e-09	2.921446827144e-08	8.623985080864e-08	-5.114990930968e-18	-3.280887506692e-15	-2.223915927832e-13	-5.405332312998e-12	-6.995201527981e-11	-5.606145121170e-10	-2.841004797710e-09	-7.939307460133e-09	-2.993768461430e-09	4.764362803949e-08	-7.296858962833e-22	-1.229007362404e-18	-1.923537066120e-16	-1.023514893275e-14	-2.891738845690e-13	-5.343065498339e-12	-7.075038950554e-11	-6.651544884656e-10	-3.533946784391e-09	6.525738937813e-09
1.028285594298e+02	-4.030660841532e-09	6.769400151859e-08	1.124749862094e-07	1.364159393764e-07	1.522289998631e-07	1.645538997395e-07	1.750830971492e-07	1.847642243121e-07	1.945645359856e-07	2.074404123333e-07	-1.277689380603e-08	-1.361614699356e-08	3.631473455960e-08	8.394718183672e-08	1.154638312476e-07	1.378547239886e-07	1.562977204023e-07	1.731471266154e-07	1.901947453360e-07	2.125919070012e-07	-2.848112812024e-09	-1.694167863997e-08	-1.062268837968e-08	2.626109460111e-08	6.661104481036e-08	9.715868671322e-08	1.204130998894e-07	1.407805497642e-07	1.612309542769e-07	1.880855760991e-07	-3.874749988790e-10	-5.857630655552e-09	-1.513393595348e-08	-8.424284328648e-09	2.032910255755e-08	5.493086958025e-08	8.356756770260e-08	1.068919692942e-07	1.293882494571e-07	1.587705155048e-07	-3.589529243179e-11	-1.159018957625e-09	-6.485905176422e-09	-1.306002172756e-08	-7.140309934582e-09	1.725125797348e-08	4.877996625244e-08	7.655025140995e-08	1.013920449347e-07	1.328903301239e-07	-2.164752397926e-12	-1.417417730708e-10	-1.494908029226e-09	-6.075054924619e-09	-1.133708706387e-08	-6.191067082880e-09	1.635268520598e-08	4.722174209534e-08	7.610628216856e-08	1.100344394773e-07	-7.384099684193e-14	-9.859601344955e-12	-1.875294666989e-10	-1.383666981584e-09	-5.152526137683e-09	-9.820059286408e-09	-5.326948571514e-09	1.752254224726e-08	5.054871038915e-08	8.834759229877e-08	-1.084365329328e-15	-3.068014250903e-13	-1.066188486851e-11	-1.399017124973e-10	-9.648705389052e-10	-3.843701628754e-09	-8.245949335562e-09	-4.305999949365e-09	2.189750404392e-08	6.545925350771e-08	-3.807448474802e-18	-2.446536053718e-15	-1.662754121220e-13	-4.055248760184e-12	-5.271182597360e-11	-4.249680629886e-10	-2.172081869360e-09	-6.155167490726e-09	-2.537883429221e-09	3.703443738021e-08	-5.518039659680e-22	-9.335279853668e-19	-1.467676348038e-16	-7.846986525076e-15	-2.228708565759e-13	-4.143236956184e-12	-5.528732841386e-11	-5.254444676957e-10	-2.844820418620e-09	5.151085763735e-09
1.403014798522e+02	-3.582762523715e-09	4.075355410068e-08	6.891847061640e-08	8.386150179492e-08	9.376882009298e-08	1.014893434547e-07	1.080831844024e-07	1.141456994977e-07	1.202828389500e-07	1.283459545958e-07	-8.025085642448e-09	-8.008068025519e-09	2.240735331137e-08	5.205017783043e-08	7.218216469913e-08	8.648456549015e-08	9.820620904725e-08	1.089002620321e-07	1.197186583615e-07	1.339318047111e-07	-1.754223308740e-09	-1.089061280077e-08	-8.178388997770e-09	1.544229432035e-08	4.315582835343e-08	6.459821599597e-08	8.083299934561e-08	9.496885362881e-08	1.091454825891e-07	1.277603224333e-07	-2.521165854440e-10	-4.037827450250e-09	-1.116411472439e-08	-7.298029882940e-09	1.361461040884e-08	3.979564288939e-08	6.161720382828e-08	7.930878847598e-08	9.633087880718e-08	1.185580788819e-07	-2.529731488501e-11	-8.544577405087e-10	-4.957467307637e-09	-1.030898424329e-08	-6.015472832074e-09	1.306219855785e-08	3.793235032951e-08	5.979240376798e-08	7.931271712679e-08	1.040669358763e-07	-1.630050791799e-12	-1.095659919335e-10	-1.173969619004e-09	-4.817121163067e-09	-9.021878201751e-09	-4.897027563609e-09	1.304165542000e-08	3.740798403013e-08	6.010924564525e-08	8.680207348372e-08	-5.786458067066e-14	-7.800245916985e-12	-1.488157531922e-10	-1.097295395149e-09	-4.067878189773e-09	-7.676134665643e-09	-3.997741352636e-09	1.391844700860e-08	3.949276175074e-08	6.871588575795e-08	-8.609798284485e-16	-2.431829508498e-13	-8.418146309397e-12	-1.098744018490e-10	-7.525367190673e-10	-2.970772009124e-09	-6.292772418095e-09	-3.134108768379e-09	1.687534095482e-08	4.986080239482e-08	-2.992079322057e-18	-1.910327437267e-15	-1.290385479845e-13	-3.128078940945e-12	-4.040517537809e-11	-3.235110792385e-10	-1.640602512871e-09	-4.605397829064e-09	-1.824046172625e-09	2.772293087999e-08	-4.210836679038e-22	-7.090773379251e-19	-1.110276438591e-16	-5.914053368061e-15	-1.673853007785e-13	-3.101278715879e-12	-4.124736394170e-11	-3.908335565993e-10	-2.113004408819e-09	3.812437919633e-09
1.914303317860e+02	-2.431203818050e-09	2.296923814515e-08	3.975025531672e-08	4.877805230230e-08	5.471700357153e-08	5.933573746140e-08	6.328003941234e-08	6.690651026484e-08	7.057761897942e-08	7.540080638621e-08	-4.969958201712e-09	-5.763487797430e-09	1.376237724236e-08	3.312383279309e-08	4.604764893599e-08	5.521159226003e-08	6.274113078582e-08	6.961413061951e-08	7.656714366080e-08	8.570196110145e-08	-1.154362286629e-09	-7.128887580441e-09	-4.853414394669e-09	1.056606825443e-08	2.786857492801e-08	4.117926096329e-08	5.133190624779e-08	6.018946491727e-08	6.907023593562e-08	8.073053125879e-08	-1.633820962066e-10	-2.523482618287e-09	-6.719704045184e-09	-4.197724105300e-09	8.336140669895e-09	2.415837727601e-08	3.758035199307e-08	4.850625562659e-08	5.898296634875e-08	7.265014888796e-08	-1.559136866435e-11	-5.162933556362e-10	-2.987207136707e-09	-6.337012692429e-09	-4.082131896009e-09	7.458499345495e-09	2.325264788046e-08	3.745125721837e-08	5.008954493045e-08	6.604508225944e-08	-9.804799284746e-13	-6.650508784907e-11	-7.270632580270e-10	-3.080082567447e-09	-6.065184178865e-09	-3.852590406810e-09	7.945707067140e-09	2.481870566178e-08	4.074926151027e-08	5.935680761262e-08	-3.562716792114e-14	-4.945347702153e-12	-9.717959409008e-11	-7.400770529023e-10	-2.847913213016e-09	-5.635314964197e-09	-3.384871819981e-09	9.586398368588e-09	2.873229931167e-08	5.063668251992e-08	-5.651527748905e-16	-1.650840407523e-13	-5.877496377823e-12	-7.873714100232e-11	-5.535010211067e-10	-2.244632704832e-09	-4.898334510915e-09	-2.666356455632e-09	1.286149425001e-08	3.872043573292e-08	-2.140420246641e-18	-1.400161558793e-15	-9.638774074785e-14	-2.374113169562e-12	-3.110476934839e-11	-2.523223542318e-10	-1.294637800125e-09	-3.668666307616e-09	-1.479700619443e-09	2.200839124610e-08	-3.271166989448e-22	-5.552242596979e-19	-8.744945121094e-17	-4.678989690552e-15	-1.328684953415e-13	-2.467227524220e-12	-3.284246374074e-11	-3.107076546217e-10	-1.666947660873e-09	3.040730365038e-09
