# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
1.168084470542e+01	6.285227960391e-09	8.711692250746e-09	8.661544468679e-09	8.692207986738e-09	8.735617785292e-09	8.773290191631e-09	8.805862583798e-09	8.835836312813e-09	8.866179952581e-09	8.906046145194e-09	1.899771861727e-08	2.125838579488e-08	2.227000641714e-08	2.301771948576e-08	2.364139477738e-08	2.418319786831e-08	2.468252479044e-08	2.518808447184e-08	2.585230369248e-08	2.575061277837e-08	2.794889574749e-08	2.930548148640e-08	3.038277103238e-08	3.133132653003e-08	3.221261051689e-08	3.310612804631e-08	3.428015385749e-08	3.135415941461e-08	3.349602619028e-08	3.503757782500e-08	3.635146278699e-08	3.758245283281e-08	3.883704794685e-08	4.048659002226e-08	3.646301121764e-08	3.860517195215e-08	4.031333573922e-08	4.188023033427e-08	4.348787536720e-08	4.560748530146e-08	4.140122470395e-08	4.362312610030e-08	4.556002346616e-08	4.752451661191e-08	5.012869708415e-08	4.642978168388e-08	4.885663587749e-08	5.121875353998e-08	5.434192804800e-08	5.187776741312e-08	5.477916247374e-08	5.849941779380e-08	5.840814570414e-08	6.296719903790e-08	6.902610384308e-08
1.593759367225e+01	4.736545440275e-09	6.514941539888e-09	6.304555641706e-09	6.241707712187e-09	6.220158182538e-09	6.206611211826e-09	6.195361650179e-09	6.185038517656e-09	6.174589019646e-09	6.160860239874e-09	1.565443334231e-08	1.767473978943e-08	1.850628218070e-08	1.912593532043e-08	1.965182272051e-08	2.011106803955e-08	2.053465499853e-08	2.096355671889e-08	2.152706153484e-08	2.206635543392e-08	2.415991880249e-08	2.540942660758e-08	2.640057943401e-08	2.727948232606e-08	2.809828512678e-08	2.892881029330e-08	3.002009543478e-08	2.758200311726e-08	2.969515778334e-08	3.118709011215e-08	3.245680122015e-08	3.365119947420e-08	3.487036684624e-08	3.647361033849e-08	3.273571890179e-08	3.490176545503e-08	3.660715866377e-08	3.817037464512e-08	3.977845020318e-08	4.190015230311e-08	3.781397504540e-08	4.010447958214e-08	4.208343853040e-08	4.409101634229e-08	4.675662435270e-08	4.307042823439e-08	4.561387497136e-08	4.807415257952e-08	5.133037264827e-08	4.885102158158e-08	5.193854500531e-08	5.588306378581e-08	5.588358165340e-08	6.081187954928e-08	6.752434120451e-08
2.174559276041e+01	3.432371593880e-09	4.644155725663e-09	4.330142844192e-09	4.201587007596e-09	4.133496159672e-09	4.083186773817e-09	4.040483026571e-09	4.001236108776e-09	3.961506629309e-09	3.909309129874e-09	1.215867712787e-08	1.380751116175e-08	1.440299337376e-08	1.485224123970e-08	1.524508860786e-08	1.559126190314e-08	1.591101208354e-08	1.623481090522e-08	1.666022964161e-08	1.779316438255e-08	1.963511756427e-08	2.068284088640e-08	2.151205355674e-08	2.225533281897e-08	2.295071799182e-08	2.365653373293e-08	2.458399142569e-08	2.285024139945e-08	2.479032340811e-08	2.612355097210e-08	2.725547806937e-08	2.832654873598e-08	2.942232108780e-08	3.086367777541e-08	2.771655951260e-08	2.976562274098e-08	3.135066692933e-08	3.280189216462e-08	3.430037116151e-08	3.627953701811e-08	3.262443946029e-08	3.484308582067e-08	3.673649879397e-08	3.865775144639e-08	4.121459107158e-08	3.780673552440e-08	4.032083189851e-08	4.273208052591e-08	4.592778848031e-08	4.361080942423e-08	4.672047522197e-08	5.067356183885e-08	5.080151535615e-08	5.586208478809e-08	6.296876011629e-08
2.967015060279e+01	2.379947274334e-09	3.198986344673e-09	2.870591223386e-09	2.722796855808e-09	2.639179074820e-09	2.576438381842e-09	2.523091273398e-09	2.474057278726e-09	2.424420212698e-09	2.359205896526e-09	8.985889855741e-09	1.022245476488e-08	1.059118939984e-08	1.087372811208e-08	1.113356251720e-08	1.136601858707e-08	1.158125597054e-08	1.179926199261e-08	1.208568805811e-08	1.354422841187e-08	1.502986645111e-08	1.582085852508e-08	1.644390720982e-08	1.701145586522e-08	1.754587495801e-08	1.808888145956e-08	1.880244966416e-08	1.781851073021e-08	1.945689908606e-08	2.054190701483e-08	2.145939900922e-08	2.233499566354e-08	2.323381893279e-08	2.441658777230e-08	2.206739510904e-08	2.385738812693e-08	2.520886377014e-08	2.644388581522e-08	2.772599425066e-08	2.942197528365e-08	2.646791028835e-08	2.846000021309e-08	3.013149324154e-08	3.182792662615e-08	3.409296619249e-08	3.122376961451e-08	3.353584758884e-08	3.572743343867e-08	3.863748959514e-08	3.666683896200e-08	3.959150473909e-08	4.328401454859e-08	4.355907167393e-08	4.843117156693e-08	5.553651270303e-08
4.048258635629e+01	1.551466746728e-09	2.091003543857e-09	1.812144919858e-09	1.680264667511e-09	1.604013612907e-09	1.546640666085e-09	1.497854813454e-09	1.453013925077e-09	1.407621586795e-09	1.347984092702e-09	6.382028364063e-09	7.275408839868e-09	7.493355904293e-09	7.661270187216e-09	7.825692922344e-09	7.975644802343e-09	8.114939033812e-09	8.256063978918e-09	8.441481913579e-09	9.837749795966e-09	1.095325123432e-08	1.150474630271e-08	1.193516219180e-08	1.233518325968e-08	1.271506187522e-08	1.310160130202e-08	1.360960129544e-08	1.317925879766e-08	1.445460886907e-08	1.526256102322e-08	1.594136646793e-08	1.659635578138e-08	1.727180994648e-08	1.816114800390e-08	1.659759141134e-08	1.803488059231e-08	1.908754771776e-08	2.004651293010e-08	2.104920473545e-08	2.237839080995e-08	2.023094189121e-08	2.187499480235e-08	2.322448741300e-08	2.459412531801e-08	2.643102574288e-08	2.425363682611e-08	2.621061910155e-08	2.803690268419e-08	3.046789015438e-08	2.896698508379e-08	3.150419730126e-08	3.467805585529e-08	3.508308477040e-08	3.942336289375e-08	4.604450351240e-08
5.523530433110e+01	9.669051253301e-10	1.253826284736e-09	1.021143416525e-09	9.078271701463e-10	8.402368573177e-10	7.890077729973e-10	7.454133703282e-10	7.053425721084e-10	6.647789529366e-10	6.114855405385e-10	4.316010398528e-09	4.963491628346e-09	5.105129667336e-09	5.212838516599e-09	5.322398578832e-09	5.423634061575e-09	5.517906742006e-09	5.613440718157e-09	5.738959702904e-09	6.868649432598e-09	7.684670098648e-09	8.069548568178e-09	8.366366668642e-09	8.646072992771e-09	8.913521014379e-09	9.186009529029e-09	9.544152619606e-09	9.356792983435e-09	1.030073482242e-08	1.087787931071e-08	1.135884498869e-08	1.182739698379e-08	1.231275443351e-08	1.295218199297e-08	1.193838395640e-08	1.301939509109e-08	1.378887714448e-08	1.448679830992e-08	1.522188254544e-08	1.619861113829e-08	1.472913972251e-08	1.598843744494e-08	1.699860255337e-08	1.802322156898e-08	1.940437754555e-08	1.787678196390e-08	1.940557826219e-08	2.080718958524e-08	2.267790797626e-08	2.164009327614e-08	2.366510038330e-08	2.617008720938e-08	2.663686837388e-08	3.018955210946e-08	3.587662443153e-08
7.536422741615e+01	5.912243124378e-10	7.214673818454e-10	5.211733810704e-10	4.224432753569e-10	3.622647462226e-10	3.163127251273e-10	2.771663577972e-10	2.411811241862e-10	2.047532101463e-10	1.568933801477e-10	2.727551222961e-09	3.149254897390e-09	3.216972895084e-09	3.270798531686e-09	3.331437828580e-09	3.388886390249e-09	3.442603576549e-09	3.497059581177e-09	3.568608490942e-09	4.536844589407e-09	5.120585917001e-09	5.388140227681e-09	5.593211738752e-09	5.787712675687e-09	5.974335149274e-09	6.164614627436e-09	6.414721267513e-09	6.350216497076e-09	7.038034260654e-09	7.452809365928e-09	7.796628367879e-09	8.132676848707e-09	8.481514529017e-09	8.941241484638e-09	8.246145576455e-09	9.038661237465e-09	9.595462405393e-09	1.009858740144e-08	1.063037471270e-08	1.133798202019e-08	1.030784958211e-08	1.123611696346e-08	1.197072805853e-08	1.271482208270e-08	1.372119997140e-08	1.265088132327e-08	1.378611210059e-08	1.481349762573e-08	1.618697407832e-08	1.548079210817e-08	1.699998449613e-08	1.886112866535e-08	1.929117589883e-08	2.199720973298e-08	2.650043260673e-08
1.028285594298e+02	3.388030056280e-10	4.102693666181e-10	2.721349306822e-10	2.008380883981e-10	1.575774103095e-10	1.246728984172e-10	9.665690033143e-11	7.090411515382e-11	4.483455209078e-11	1.058376185436e-11	1.661652333716e-09	1.899080806829e-09	1.901370850778e-09	1.907131305441e-09	1.925980131654e-09	1.946447688339e-09	1.965949135192e-09	1.985748821510e-09	2.011764600265e-09	2.807769743195e-09	3.175303103806e-09	3.322783110434e-09	3.435160801064e-09	3.546193405031e-09	3.654200718268e-09	3.764555110761e-09	3.909625380787e-09	4.033900038705e-09	4.501350690542e-09	4.772190181637e-09	4.996070922479e-09	5.216987697044e-09	5.447074479682e-09	5.750421356128e-09	5.368057206663e-09	5.927781441608e-09	6.315344803050e-09	6.665146519923e-09	7.035929418079e-09	7.529724905317e-09	6.848975117392e-09	7.517530973121e-09	8.043209779293e-09	8.575346411545e-09	9.295922669384e-09	8.551181312730e-09	9.377204429884e-09	1.012143017554e-08	1.111652747648e-08	1.062193749350e-08	1.173383246754e-08	1.309067543364e-08	1.342744218900e-08	1.541786181228e-08	1.878611212603e-08
1.403014798522e+02	1.906311800525e-10	2.161889459360e-10	1.249522432509e-10	7.805640114211e-11	4.910688586425e-11	2.703354468776e-11	8.243616388857e-12	-9.027492387678e-12	-2.651099682620e-11	-4.948122508813e-11	9.631679567748e-10	1.112936985526e-09	1.111809472761e-09	1.110647656507e-09	1.118853864569e-09	1.128998100662e-09	1.138848918943e-09	1.148866965431e-09	1.162030882510e-09	1.682746174375e-09	1.905048584396e-09	1.981537106138e-09	2.036817246873e-09	2.095042121787e-09	2.153195203004e-09	2.212872035761e-09	2.291343310301e-09	2.441203486681e-09	2.723623574268e-09	2.872056564406e-09	2.992528826531e-09	3.115225881537e-09	3.244565922512e-09	3.415324715565e-09	3.284550035664e-09	3.635896641268e-09	3.865360797711e-09	4.071517050614e-09	4.293523083037e-09	4.590405169923e-09	4.255441235965e-09	4.693421195685e-09	5.026645925443e-09	5.364474869017e-09	5.825009483252e-09	5.409544707664e-09	5.970846006139e-09	6.468349728736e-09	7.135575975449e-09	6.852280506228e-09	7.630082153812e-09	8.573448315090e-09	8.849263558827e-09	1.027318313261e-08	1.273202560369e-08
1.914303317860e+02	1.027627955323e-10	1.129861891037e-10	5.625245930989e-11	2.618503033569e-11	7.728221450557e-12	-6.323770927674e-12	-1.828747655318e-11	-2.928445491524e-11	-4.041667951933e-11	-5.504245084519e-11	5.406887913488e-10	6.184214054933e-10	6.067010278787e-10	5.994037662383e-10	5.995482212407e-10	6.015524500285e-10	6.037092121133e-10	6.059214311201e-10	6.088292328153e-10	9.568786457764e-10	1.088017996359e-09	1.131830404937e-09	1.163419710922e-09	1.196796336944e-09	1.230271366582e-09	1.264679352217e-09	1.309931588149e-09	1.422329714002e-09	1.598395088703e-09	1.690890992937e-09	1.764727820124e-09	1.839712388151e-09	1.919003589918e-09	2.023768709377e-09	1.946638998987e-09	2.163435001132e-09	2.302001597853e-09	2.424748550005e-09	2.557893141100e-09	2.736616408708e-09	2.545536024192e-09	2.812578687925e-09	3.008989795643e-09	3.207213956018e-09	3.480070765589e-09	3.259200971381e-09	3.602827433582e-09	3.897483438441e-09	4.294800585437e-09	4.166514688815e-09	4.652584395670e-09	5.230031329849e-09	5.459003597984e-09	6.380917239237e-09	8.079044097620e-09
2.611916279594e+02	5.405831301226e-11	5.697398595184e-11	2.324367696102e-11	5.363768183006e-12	-5.658830485077e-12	-1.406202143123e-11	-2.121498956101e-11	-2.778962510978e-11	-3.444510202486e-11	-4.318921960586e-11	2.909564982117e-10	3.327737966791e-10	3.240591265870e-10	3.177599288271e-10	3.161512968857e-10	3.159784832302e-10	3.160312660508e-10	3.161039239087e-10	3.162002267465e-10	5.277015265195e-10	6.018536655948e-10	6.225507526732e-10	6.361843785697e-10	6.520785057031e-10	6.685908054377e-10	6.856473779828e-10	7.080852779869e-10	7.949866683774e-10	8.928783962421e-10	9.395147548147e-10	9.763994683812e-10	1.015252144987e-09	1.056759527554e-09	1.111651920340e-09	1.097994949296e-09	1.223043423859e-09	1.300297233727e-09	1.369094901239e-09	1.444365163415e-09	1.545531213966e-09	1.455902878494e-09	1.617139057739e-09	1.735326785804e-09	1.854720461899e-09	2.018924653990e-09	1.893557645106e-09	2.105756082616e-09	2.288138551556e-09	2.533348494898e-09	2.453870616129e-09	2.753982658044e-09	3.109233501777e-09	3.249801012355e-09	3.813060192408e-09	4.868930832594e-09
