# thetas P1-P1 P1-P2 P1-P3 P1-P4 P1-P5 P1-P6 P1-P7 P1-P8 P1-P9 P1-P10 P2-P2 P2-P3 P2-P4 P2-P5 P2-P6 P2-P7 P2-P8 P2-P9 P2-P10 P3-P3 P3-P4 P3-P5 P3-P6 P3-P7 P3-P8 P3-P9 P3-P10 P4-P4 P4-P5 P4-P6 P4-P7 P4-P8 P4-P9 P4-P10 P5-P5 P5-P6 P5-P7 P5-P8 P5-P9 P5-P10 P6-P6 P6-P7 P6-P8 P6-P9 P6-P10 P7-P7 P7-P8 P7-P9 P7-P10 P8-P8 P8-P9 P8-P10 P9-P9 P9-P10 P10-P10
1.000000000000000021e-02 4.777514317907544800e-02 2.352318896643100163e-02 4.992673166829600905e-03 7.125118885735884974e-04 7.132491591462793807e-05 4.675243676027248390e-06 1.730448792501917842e-07 2.752230688295077867e-09 1.048120231450489469e-11 1.670189207925188705e-15 5.989767527158230964e-02 3.766556414296057254e-02 1.239395682857179215e-02 2.547837133492808666e-03 3.307425108360881913e-04 2.452569918004138144e-05 8.140591177855588940e-07 6.945897168523644506e-09 2.876623790933704756e-12 5.916775034594575627e-02 4.143360793243029000e-02 1.626740318929982901e-02 3.786805726716719212e-03 4.934978259213776983e-04 2.945102158138958179e-05 4.856082151686150393e-07 4.602515171673369355e-10 5.743396476800247119e-02 4.191610195114679055e-02 1.730929972332145850e-02 3.898853192621420851e-03 4.037820876264234149e-04 1.219588296963689925e-05 2.506887687637573476e-08 5.546262413406106984e-02 4.069574116397962210e-02 1.611162085719906878e-02 2.948541670946523870e-03 1.640870739198839836e-04 7.271257337897395922e-07 5.331209129585616491e-02 3.809494523271662880e-02 1.286751425570651156e-02 1.386707651435337358e-03 1.387351067935195459e-05 5.087751932991414761e-02 3.372456641492231622e-02 7.667215546738966395e-03 1.920756004552473116e-04 4.777733009067133829e-02 2.615683059348099596e-02 1.948002375986045793e-03 4.266365156190521368e-02 1.267761591570556491e-02 2.571936660432813312e-02
1.424712723573234863e-02 4.614809372756234485e-02 2.257757075017723797e-02 4.773314899258538149e-03 6.790473006421885588e-04 6.778448887759007597e-05 4.431501803305743027e-06 1.635941405209650274e-07 2.594674403804709305e-09 9.849380082527379345e-12 1.562665345479959796e-15 5.730339511782304995e-02 3.592567379151392210e-02 1.178930502558795008e-02 2.417351055791492394e-03 3.130257716004603702e-04 2.315410952423533220e-05 7.665123486147847652e-07 6.520530512023326812e-09 2.689477244201424722e-12 5.630328884884913676e-02 3.933859292581436129e-02 1.541046112640230038e-02 3.579245807334397681e-03 4.653589061605899494e-04 2.770213485621736272e-05 4.554615378594471617e-07 4.300157502623911197e-10 5.442666589053909987e-02 3.964461377798209757e-02 1.633843833513100655e-02 3.672300147359953103e-03 3.794245913840923090e-04 1.142890476502973360e-05 2.340610651147598997e-08 5.236912112338549391e-02 3.835745037991403900e-02 1.515649164463388383e-02 2.767722332948398690e-03 1.536295958799476142e-04 6.784162883943697959e-07 5.016966235952787651e-02 3.578691615540518373e-02 1.206387227530825342e-02 1.297011255810614268e-03 1.293398541940837481e-05 4.772004984134128880e-02 3.157399776753915671e-02 7.162524653543503143e-03 1.788994990332846079e-04 4.465577288683194451e-02 2.439750568734721028e-02 1.812117746869873914e-03 3.971352352404080438e-02 1.177119965246931597e-02 2.379799305407011289e-02
2.029806344711464899e-02 4.418521513587881505e-02 2.144800319039577574e-02 4.512876816588112100e-03 6.395084420447330695e-04 6.361906054082970270e-05 4.145847901011397026e-06 1.525607017664946585e-07 2.411472205696807381e-09 9.118084769010398299e-12 1.438974465938215719e-15 5.422018799517351606e-02 3.386744243410765021e-02 1.107696277773356948e-02 2.264209699840498587e-03 2.923087548459412537e-04 2.155604613542234430e-05 7.113238121936172829e-07 6.028905048787175473e-09 2.474408922833201941e-12 5.292665973297906029e-02 3.687733032031488556e-02 1.440702182160884422e-02 3.337001643604937170e-03 4.326286207168679389e-04 2.567516831371345160e-05 4.206629298176986545e-07 3.953016499045907945e-10 5.090351787840966674e-02 3.699101361033491769e-02 1.520755779170973598e-02 3.409216929961359725e-03 3.512342486913531199e-04 1.054464630030781817e-05 2.149884827057348887e-08 4.876401150745503232e-02 3.563943783205253402e-02 1.404932523367774175e-02 2.558764858392756445e-03 1.415882245442530918e-04 6.225993519583622510e-07 4.652515470918748564e-02 3.311675402727115580e-02 1.113674431468759246e-02 1.193875686987215653e-03 1.185853063294345938e-05 4.407524983516205447e-02 2.909784062459942755e-02 6.583198085036196141e-03 1.638365825590048824e-04 4.106998688507588341e-02 2.238228788535836719e-02 1.657038530375095188e-03 3.634368741751413390e-02 1.073938549056366147e-02 2.162110595286804993e-02
2.891890925700103462e-02 4.184381953278497324e-02 2.011548745438822977e-02 4.207736196649384391e-03 5.934347521357669682e-04 5.878813467552539775e-05 3.816004943710361013e-06 1.398752839483303795e-07 2.201793158289060156e-09 8.285422328090667644e-12 1.299108366492576918e-15 5.060370553057898235e-02 3.146572716089697519e-02 1.024957339017543330e-02 2.087094798431618405e-03 2.684467344390058523e-04 1.972287450634463668e-05 6.482847167230014231e-07 5.470042940229493950e-09 2.231492522966978735e-12 4.900208227667642719e-02 3.402750795663694178e-02 1.324946594276573200e-02 3.058584868435132876e-03 3.951537255069484389e-04 2.336372114016157625e-05 3.811613262178902249e-07 3.561343372677695361e-10 4.683699595309098046e-02 3.393788806495454113e-02 1.391067161571538958e-02 3.108557801500734779e-03 3.191388394833912824e-04 9.542249453770729274e-06 1.934920192104968187e-08 4.462746335254084984e-02 3.252975375285106080e-02 1.278655449600208521e-02 2.321264997978950747e-03 1.279574648369554888e-04 5.597581619354356356e-07 4.236603851478958072e-02 3.007805858806521584e-02 1.008498473529106411e-02 1.077313244252574862e-03 1.064921089212976434e-05 3.993772767688195252e-02 2.629502095469774328e-02 5.929701185184876877e-03 1.469234348938405061e-04 3.702180442201320060e-02 2.011450651404990408e-02 1.483244309915779987e-03 3.256339936717062011e-02 9.586379744850626397e-03 1.920144182207606659e-02
4.120113797030918595e-02 3.910539650999318023e-02 1.857718633266183458e-02 3.858285785726556227e-03 5.410082360364856530e-04 5.332175104634809883e-05 3.444702391109493533e-06 1.256680431131723446e-07 1.968218137835803977e-09 7.363548598590698363e-12 1.145524562463984646e-15 4.645658657596653252e-02 2.872840927383458337e-02 9.311691779720810899e-03 1.887339452547613997e-03 2.416647439706206190e-04 1.767528845605755890e-05 5.782268090778503503e-07 4.852498184997696741e-09 1.965112897597854932e-12 4.454991911906298202e-02 3.080904545273414896e-02 1.194788514142761104e-02 2.746896100308373560e-03 3.533890222836300337e-04 2.079999222496137866e-05 3.375856031188961937e-07 3.132383237594655819e-10 4.226150631592583140e-02 3.051554768301664028e-02 1.246258644839640974e-02 2.774221780868382000e-03 2.836079685305071619e-04 8.438259549438159842e-06 1.699788298589832104e-08 4.000569601606423359e-02 2.906718259538851670e-02 1.138567484671101047e-02 2.058873106668640193e-03 1.129705545337361883e-04 4.911117825827675754e-07 3.774887954601122836e-02 2.671588068006316638e-02 8.925624861735582255e-03 9.493973376799285518e-04 9.330095463144076910e-06 3.537329592948684764e-02 2.321357283716497452e-02 5.214183091206827519e-03 1.285068164858053908e-04 3.258509649276354614e-02 1.763858306822751326e-02 1.294434142092397216e-03 2.845157872958156350e-02 8.338059944264338691e-03 1.659836128782573444e-02
5.869978549199581647e-02 3.595792178836291347e-02 1.683531208364377058e-02 3.466207168054419134e-03 4.826177788538435248e-04 4.727246787080208244e-05 3.036242096707599957e-06 1.101303578016042199e-07 1.714343449180797090e-09 6.368618924696366316e-12 9.813331341450648358e-16 4.179651061469649709e-02 2.567400689324617069e-02 8.271689041566752248e-03 1.667115022964322331e-03 2.123024835902828774e-04 1.544285426568662735e-05 5.022865688502641904e-07 4.187496140961183080e-09 1.680779860300052934e-12 3.960854496913057687e-02 2.725527234367227866e-02 1.051790721060400120e-02 2.406180147005333204e-03 3.079707723187454903e-04 1.802732154320448569e-05 2.907524849853796233e-07 2.675181004809259481e-10 3.723086632692165776e-02 2.676901339227789195e-02 1.088438652621950137e-02 2.411561975728206131e-03 2.452653466939716987e-04 7.253960962522016217e-06 1.449540144606269458e-08 3.496494458378428261e-02 2.530556296592182189e-02 9.870270160709333426e-03 1.776374057104494145e-03 9.692471238263527210e-05 4.181628891128673302e-07 3.275031897700710071e-02 2.308984395354541155e-02 7.680684182986747405e-03 8.127432837498814412e-04 7.930650531887691753e-06 3.046744417872788643e-02 1.991468204549644641e-02 4.451789801627813008e-03 1.090078913423907198e-04 2.785241365342372433e-02 1.500912979156769980e-02 1.095056002163302591e-03 2.410361213822291918e-02 7.025098100576512850e-03 1.388048167744672726e-02
8.363033126146603158e-02 3.242119767484603204e-02 1.491195510532134817e-02 3.037903859385702576e-03 4.193797379727442717e-04 4.077008290535367487e-05 2.600244292469892216e-06 9.365917895828531406e-08 1.447167725723656453e-09 5.330258037544401208e-12 8.118799287413628643e-16 3.669683037265653730e-02 2.235878898919492833e-02 7.151117348715057068e-03 1.431440600459781042e-03 1.810856701488511441e-04 1.308487758287599985e-05 4.226227109798520995e-07 3.495283930538235549e-09 1.387876978972399192e-12 3.427875234623112971e-02 2.344523863088130225e-02 8.993849155842602652e-03 2.045194273220191875e-03 2.601432920822732502e-04 1.512649051501064248e-05 2.421149291974841187e-07 2.205013237966357881e-10 3.186449720636387595e-02 2.279274993424349610e-02 9.218196290607808333e-03 2.030807784879149012e-03 2.052537799483922427e-04 6.026742670162678849e-06 1.192638661792341688e-08 2.963854494947591039e-02 2.134918606109199868e-02 8.284381478032275606e-03 1.482385566577531979e-03 8.033553141711624016e-05 3.434088641959905972e-07 2.751440486849327655e-02 1.930869429997213865e-02 6.389102660279206980e-03 6.718276134498766747e-04 6.499421082758100426e-06 2.537230465665534646e-02 1.650443168437311370e-02 3.668058836928879147e-03 8.911348289374067223e-05 2.298079603306006288e-02 1.231660865504612991e-02 8.922703274044723690e-04 1.967408293429728089e-02 5.695970937659400497e-03 1.115291835230560955e-02
1.191491970248551024e-01 2.854656063143313355e-02 1.284762560857614228e-02 2.583952377157042613e-03 3.530286823876438635e-04 3.400762444270295076e-05 2.150514485238841184e-06 7.680647314854555919e-08 1.176135881333368705e-09 4.287216561218966244e-12 6.438966487294199823e-16 3.128048773996083831e-02 1.887143167104222280e-02 5.982451947359546454e-03 1.187609959482900093e-03 1.490364483699537011e-04 1.068257085964148121e-05 3.421128589700970162e-07 2.802101647380206276e-09 1.098148283310387492e-12 2.871333476867671264e-02 1.949489391811874001e-02 7.424599520393423274e-03 1.676086304332262975e-03 2.115898990374928180e-04 1.220411064510187280e-05 1.935411462855409468e-07 1.740890127055327319e-10 2.633324621831985637e-02 1.871878073495621825e-02 7.521592349824494581e-03 1.645637556901727132e-03 1.650674519568284045e-04 4.804323252336170397e-06 9.395556130893527628e-09 2.420939272026532280e-02 1.733847200863825391e-02 6.686191043434457602e-03 1.188066826681156681e-03 6.385603076217085273e-05 2.699219313544625769e-07 2.223209430855348223e-02 1.551425090336924079e-02 5.100775322368091523e-03 5.322715320061598967e-04 5.095748608442091389e-06 2.028352332326965532e-02 1.311713532095655325e-02 2.894730510716038343e-03 6.965692038196825584e-05 1.816628494469253730e-02 9.672038222725014636e-03 6.946811698909773156e-04 1.534967637009205035e-02 4.408096456458966347e-03 8.536963607403797241e-03
1.697533770048453017e-01 2.442525799241641871e-02 1.070446342450390685e-02 2.119593053137522939e-03 2.859604267701848718e-04 2.724301652310175131e-05 1.704984565480350479e-06 6.027051088911127444e-08 9.128818073831444972e-10 3.285844662405543413e-12 4.851312603716711512e-16 2.572632059906819826e-02 1.533567519930367773e-02 4.809529673959238132e-03 9.451934127157413448e-04 1.174621173254858283e-04 8.337298141681139557e-06 2.642614502531676966e-07 2.139051343863744247e-09 8.250268780179909649e-13 2.311949007815035026e-02 1.555750606389539117e-02 5.873281573606192220e-03 1.314191786372268227e-03 1.643886351554136552e-04 9.388796771192994806e-06 1.472279913060885576e-07 1.304430533180015366e-10 2.085846839592091564e-02 1.471485418556417284e-02 5.866317731275490915e-03 1.272757275061799304e-03 1.264927918037791945e-04 3.642390596093743504e-06 7.021314691321900824e-09 1.890610845675133253e-02 1.344601962325919255e-02 5.145956842877495371e-03 9.066335587598439542e-04 4.824231134927604224e-05 2.011550854693665202e-07 1.713473057148454798e-02 1.187564975067996638e-02 3.874166604585531012e-03 4.005266213594754353e-04 3.785886691361873799e-06 1.543120285814587878e-02 9.908254508383980766e-03 2.167856541025327093e-03 5.156118570575408163e-05 1.363254469397993072e-02 7.199883674143146492e-03 5.117183137106316726e-04 1.133612137461211325e-02 3.223413931514442030e-03 6.159651635432012058e-03
2.418497960883272957e-01 2.018971176273422555e-02 8.564451399324140429e-03 1.663969169646486047e-03 2.210752528939537913e-04 2.077895169803821001e-05 1.284116403044747918e-06 4.482660738893897947e-08 6.699540232618292368e-10 2.374473473091142670e-12 3.432956999654624491e-16 2.026073106270038018e-02 1.190269923411855710e-02 3.684299198663556346e-03 7.152236219735769911e-04 8.783095628691173597e-05 6.159995977586975636e-06 1.928000100159291585e-07 1.538216010951168678e-09 5.817794946607208880e-13 1.774382292123324184e-02 1.181106177079457864e-02 4.411488568167015907e-03 9.765006495489067864e-04 1.207864556087743325e-04 6.816013717271874855e-06 1.054201359534250503e-07 9.168294599542135632e-11 1.569210666619073186e-02 1.096808643214504560e-02 4.330747504523963648e-03 9.300143162271146471e-04 9.139163746628743159e-05 2.597324107180816112e-06 4.918896017640399159e-09 1.397930974581625650e-02 9.857555920858507986e-03 3.737761918202630717e-03 6.517048249608572421e-04 3.425253494164166629e-05 1.404430783210219143e-07 1.246717560808937274e-02 8.568647817355837942e-03 2.768758898396096301e-03 2.829919012909214680e-04 2.633273327346193132e-06 1.105050534682936077e-02 7.033608117045173254e-03 1.522727607920068213e-03 3.570089615081806998e-05 9.599758615603413633e-03 5.019963485324944845e-03 3.521941006358856479e-04 7.827082399490039102e-03 2.198587434167557052e-03 4.132601098958368045e-03
