# thetas P1-S1 P1-S2 P1-S3 P1-S4 P1-S5 P1-S6 P1-S7 P1-S8 P1-S9 P1-S10 P2-S1 P2-S2 P2-S3 P2-S4 P2-S5 P2-S6 P2-S7 P2-S8 P2-S9 P2-S10 P3-S1 P3-S2 P3-S3 P3-S4 P3-S5 P3-S6 P3-S7 P3-S8 P3-S9 P3-S10 P4-S1 P4-S2 P4-S3 P4-S4 P4-S5 P4-S6 P4-S7 P4-S8 P4-S9 P4-S10 P5-S1 P5-S2 P5-S3 P5-S4 P5-S5 P5-S6 P5-S7 P5-S8 P5-S9 P5-S10 P6-S1 P6-S2 P6-S3 P6-S4 P6-S5 P6-S6 P6-S7 P6-S8 P6-S9 P6-S10 P7-S1 P7-S2 P7-S3 P7-S4 P7-S5 P7-S6 P7-S7 P7-S8 P7-S9 P7-S10 P8-S1 P8-S2 P8-S3 P8-S4 P8-S5 P8-S6 P8-S7 P8-S8 P8-S9 P8-S10 P9-S1 P9-S2 P9-S3 P9-S4 P9-S5 P9-S6 P9-S7 P9-S8 P9-S9 P9-S10 P10-S1 P10-S2 P10-S3 P10-S4 P10-S5 P10-S6 P10-S7 P10-S8 P10-S9 P10-S10
1.000000000000000021e-02 -3.464224105375153323e-06 1.567810546831777607e-05 3.090266935872265441e-05 3.926773527897283470e-05 4.470684921380459827e-05 4.890677613635709695e-05 5.248770101917114573e-05 5.577951352849152910e-05 5.911181574085642521e-05 6.348987146562066954e-05 -5.089099970091101576e-06 -7.344909996763562108e-06 1.283810970702276117e-05 3.489678866510319407e-05 5.029535689701092614e-05 6.117852991565501974e-05 7.002778602601806267e-05 7.808095956073197693e-05 8.622510243538170538e-05 9.692466907729290068e-05 -1.309269251691543592e-06 -8.924957250446406511e-06 -7.957070760293116001e-06 1.106317584990988890e-05 3.499586192529282317e-05 5.414271770416503746e-05 6.867563214820865934e-05 8.123047126213389668e-05 9.378498446259711724e-05 1.102651441359529176e-04 -2.078009520064681093e-07 -3.515477575273244910e-06 -1.038527391421211774e-05 -8.103891217057948318e-06 1.071012086078587127e-05 3.628249597490490003e-05 5.848332179885721693e-05 7.650306431849097227e-05 9.367685394512141812e-05 1.160508568937333534e-04 -2.246993711407956711e-08 -7.989278755350948421e-07 -4.906659405718486364e-06 -1.104962277871047545e-05 -8.089258294093404342e-06 1.148512424470084418e-05 3.951032021082699001e-05 6.515670635263425838e-05 8.794681999008920395e-05 1.166034845100818166e-04 -1.569450567901105347e-09 -1.116231319438777894e-07 -1.263798559858288786e-06 -5.531323453105103382e-06 -1.131646056801349587e-05 -7.965877471649022428e-06 1.355750998343916171e-05 4.569528281082297331e-05 7.658510749523025939e-05 1.125054922845007964e-04 -6.151167453230959388e-11 -8.807069608434161563e-09 -1.772501873495466934e-07 -1.382259382885044106e-06 -5.469400157654721032e-06 -1.126495767848711143e-05 -7.699629578754254336e-06 1.776867138299713351e-05 5.741774296961575771e-05 1.033258822467990448e-04 -1.034757561147248831e-12 -3.097083179004618229e-10 -1.126660312557850915e-08 -1.543445173013318303e-07 -1.113857850090093421e-06 -4.673885967951351692e-06 -1.074234205469616529e-05 -7.090554208315885948e-06 2.686039209943563981e-05 8.682425721741308011e-05 -4.185765258567387812e-15 -2.805196360642375823e-12 -1.976145488405409672e-10 -4.985022401099938619e-09 -6.708560916533460471e-08 -5.623717715729503351e-07 -3.014985885310731789e-06 -9.141097137007772076e-06 -5.236800432162155425e-06 5.559234696260275836e-05 -7.199747931580979896e-19 -1.250696608889046013e-15 -2.015377251497274325e-13 -1.104276214974644301e-11 -3.217573714130332486e-10 -6.153498119340100329e-09 -8.496557107404492051e-08 -8.453879128339061314e-07 -4.937476911473475691e-06 8.204480398601000593e-06
1.424712723573234863e-02 -4.192077846263117612e-06 1.940721708181781190e-05 3.803991878689309711e-05 4.826534506032670627e-05 5.491733933429504777e-05 6.005542843474385225e-05 6.443654243777901126e-05 6.846396916300753570e-05 7.254093532137593950e-05 7.789734780964689058e-05 -6.200694738942431681e-06 -8.869413749971706830e-06 1.570483954173365943e-05 4.245528636698543538e-05 6.110336372660848481e-05 7.428462064891662832e-05 8.500603228125846902e-05 9.476399598184757412e-05 1.046323225578671049e-04 1.175970857914645959e-04 -1.587968805916922381e-06 -1.078740555846328243e-05 -9.550577622123571959e-06 1.345346571895824707e-05 4.230515288866517037e-05 6.535671665137985709e-05 8.285292486687256613e-05 9.797242345865071614e-05 1.130931431862532556e-04 1.329421370376803184e-04 -2.510656791531646598e-07 -4.236881976053165598e-06 -1.248147168013798297e-05 -9.680013328438754309e-06 1.295789970105238278e-05 4.364064188605947772e-05 7.024557956737297797e-05 9.183970154296281386e-05 1.124259459537469829e-04 1.392475680961552181e-04 -2.705670786061716329e-08 -9.600372401848102074e-07 -5.884400622170695638e-06 -1.321941503606049332e-05 -9.622419843837428931e-06 1.382601734648965988e-05 4.731141146629225323e-05 7.792174191787765321e-05 1.051256770311496968e-04 1.393400667285215840e-04 -1.883923292546843837e-09 -1.337456641654345979e-07 -1.511847636025933266e-06 -6.605572706762931686e-06 -1.348466980691893566e-05 -9.439293071371989286e-06 1.623771444797275125e-05 5.448577927471711350e-05 9.121793392603411426e-05 1.339428264500288680e-04 -7.361034960906425791e-11 -1.052213670283787843e-08 -2.114780125591110166e-07 -1.646905851290651738e-06 -6.506397113820421803e-06 -1.337336037877157226e-05 -9.089055706428472446e-06 2.117020946955599128e-05 6.817290145396886852e-05 1.225731163380965527e-04 -1.234297939460104953e-12 -3.689071654029866334e-10 -1.340411401622532843e-08 -1.834147150232376641e-07 -1.321997510691595704e-06 -5.539127219030845333e-06 -1.270577302477603798e-05 -8.334668246893365878e-06 3.182724266658985124e-05 1.026249095464447239e-04 -4.974652152889371185e-15 -3.330040964452850203e-12 -2.343505649361589308e-10 -5.905975616748029832e-09 -7.939837878673880153e-08 -6.648155162279921858e-07 -3.559082810181517096e-06 -1.076872023157742927e-05 -6.115741420602846542e-06 6.546515482015826434e-05 -8.515035159653371448e-19 -1.477991961353551033e-15 -2.379850966731845666e-13 -1.303003865292723438e-11 -3.793649887793160968e-10 -7.248943321796316064e-09 -9.998665614098756547e-08 -9.934490866443935083e-07 -5.788815731767395707e-06 9.647046964324774271e-06
2.029806344711464899e-02 -5.000511523410501178e-06 2.375792685222017985e-05 4.627789856378376841e-05 5.862011487843135036e-05 6.665360616640599695e-05 7.286097089130569629e-05 7.815422991690052488e-05 8.302020435796536569e-05 8.794603493015717022e-05 9.441770519251098111e-05 -7.456548040862533101e-06 -1.055724447326335544e-05 1.897029120662029658e-05 5.096707143269285179e-05 7.323777256224059775e-05 8.898168259598694349e-05 1.017923246199298312e-04 1.134531970145454785e-04 1.252461369386761374e-04 1.407394204486665736e-04 -1.899703315084792291e-06 -1.285442287208721652e-05 -1.128991298035016106e-05 1.614170304354485913e-05 5.042010228146209669e-05 7.776624655074478650e-05 9.852150509577194408e-05 1.164636806767968682e-04 1.344094716020925761e-04 1.579672160267979724e-04 -2.990398674688886441e-07 -5.032238387637527276e-06 -1.477734295947426522e-05 -1.138020011794086409e-05 1.545730627765162161e-05 5.171503274876371810e-05 8.311048907290559601e-05 1.085925453405659245e-04 1.328931575163839183e-04 1.645567024635867580e-04 -3.210308324263204146e-08 -1.136431385068324921e-06 -6.949800621859137436e-06 -1.556976706584595367e-05 -1.125888202354318488e-05 1.639920717912662755e-05 5.578048225621106435e-05 9.173666228345030735e-05 1.236952638723230540e-04 1.638999199070050733e-04 -2.227349580772194150e-09 -1.577990826343281267e-07 -1.780490147167936227e-06 -7.764026617691360154e-06 -1.580987764661733502e-05 -1.099611455941049380e-05 1.914835098854917212e-05 6.392860709596886234e-05 1.068931679491780376e-04 1.568816627828422989e-04 -8.672469099556923196e-11 -1.237367961268004444e-08 -2.483028807520328932e-07 -1.930636027691298021e-06 -7.613710496510922235e-06 -1.561267109443421704e-05 -1.054188274914087071e-05 2.481647349443014800e-05 7.959995338433222293e-05 1.429759046226113225e-04 -1.448856578417436712e-12 -4.323318159746148703e-10 -1.568717416312007568e-08 -2.143711394614524148e-07 -1.542915544038319490e-06 -6.453900401003126637e-06 -1.477047520772968906e-05 -9.619994682224613009e-06 3.707573327987320955e-05 1.192110553482944504e-04 -5.814951200489249299e-15 -3.887396558593928556e-12 -2.732575979448030306e-10 -6.878817299293169617e-09 -9.236916218370380762e-08 -7.723930918380643895e-07 -4.128189242247622743e-06 -1.246145365165709231e-05 -7.006129823921776839e-06 7.572175090866542317e-05 -9.897895442058452131e-19 -1.716440115944613721e-15 -2.761418452686658168e-13 -1.510620845522756541e-11 -4.394185209888289118e-10 -8.388120937131091375e-09 -1.155611326555324702e-07 -1.146346453012476149e-06 -6.662018438584000510e-06 1.113902496412735132e-05
2.891890925700103462e-02 -5.880447615063960400e-06 2.877828338941328264e-05 5.566988409101909422e-05 7.038623964539899756e-05 7.997105216248957555e-05 8.738001213415677777e-05 9.369844876276510394e-05 9.950689885689015647e-05 1.053868012213971683e-04 1.131119531780570950e-04 -8.853395034674166439e-06 -1.239055550716180369e-05 2.263605898414706638e-05 6.039924266668442437e-05 8.663790839603648314e-05 1.051897004244563348e-04 1.202914474076180381e-04 1.340396636219851046e-04 1.479438272214117750e-04 1.662108003027966310e-04 -2.242452690339815890e-06 -1.510658512593758634e-05 -1.314808850830009676e-05 1.911542927107756277e-05 5.926556987377970569e-05 9.124196404419460105e-05 1.155109055629158021e-04 1.364988848521260392e-04 1.574939291218521058e-04 1.850548385815293378e-04 -3.512575658044328460e-07 -5.892172559956160627e-06 -1.724042357671887020e-05 -1.317122316277413999e-05 1.818613304279364154e-05 6.039691254303480508e-05 9.689022586439134709e-05 1.265096505965254020e-04 1.547661557458942648e-04 1.915874724837960731e-04 -3.754580732847709941e-08 -1.325595906132426862e-06 -8.085889532265420833e-06 -1.805843378538486279e-05 -1.296099949585336076e-05 1.917108677215118438e-05 6.477181136551585076e-05 1.063495488602390313e-04 1.433096844523538364e-04 1.898198320100307564e-04 -2.594524351898186351e-09 -1.833821686294941022e-07 -2.064885370430313909e-06 -8.984144911489948479e-06 -1.824258834055571978e-05 -1.259565241969097373e-05 2.223921001123698249e-05 7.382806959414548137e-05 1.232722552850527896e-04 1.808184866799559273e-04 -1.006221564234021042e-10 -1.432635495883300866e-08 -2.869801518698724079e-07 -2.227389020886829130e-06 -8.766259125840302521e-06 -1.792837618339682631e-05 -1.201566059730319047e-05 2.862907502939550762e-05 9.142234665634263533e-05 1.640262739508939298e-04 -1.674054494833988981e-12 -4.986135153961366314e-10 -1.806427045274444284e-08 -2.464859708736489705e-07 -1.771192607045847829e-06 -7.394671978079128444e-06 -1.687998804412160555e-05 -1.090449688746467527e-05 4.246995830056154715e-05 1.361206123498000351e-04 -6.686974437986744791e-15 -4.463678732993999345e-12 -3.133554109732577788e-10 -7.878270801418424267e-09 -1.056502320911638310e-07 -8.821184797001944938e-07 -4.705835497518337816e-06 -1.416746479698397030e-05 -7.873923799049132726e-06 8.604514550889842163e-05 -1.131044170896554568e-18 -1.959351047644686937e-15 -3.149138071300741216e-13 -1.721045701994040363e-11 -5.001204885427230725e-10 -9.536130814568697525e-09 -1.311986901926906744e-07 -1.299093658706667997e-06 -7.526985331155932347e-06 1.263223239287098251e-05
4.120113797030918595e-02 -6.780486417254618834e-06 3.435121571928618090e-05 6.593179377294414634e-05 8.318544288660722748e-05 9.443093288014515075e-05 1.031274615113112131e-04 1.105446532469194388e-04 1.173632431454821768e-04 1.242657151427545075e-04 1.333343428824863548e-04 -1.032902612844195515e-05 -1.426311133756299465e-05 2.655745971246949069e-05 7.031205193818700083e-05 1.006535227747456390e-04 1.221100393008905667e-04 1.395847582184346224e-04 1.554957221570664472e-04 1.715874791381878748e-04 1.927284810512516777e-04 -2.598737444115858948e-06 -1.741773458139624634e-05 -1.500078270608623067e-05 2.223237585724438926e-05 6.834808986958515237e-05 1.050046975978303582e-04 1.328251639769761113e-04 1.568955400780333424e-04 1.809777318067676624e-04 2.125917119024730998e-04 -4.047647530221749147e-07 -6.764894492521221034e-06 -1.971201795923431974e-05 -1.492000617646948478e-05 2.099387369364012063e-05 6.913744879746575598e-05 1.106856943978775927e-04 1.444077084509303951e-04 1.765915858527680759e-04 2.185349542508610739e-04 -4.304983885457447830e-08 -1.515304880491652059e-06 -9.215811517857975857e-06 -2.050773876529323188e-05 -1.459107823640577895e-05 2.196866604946585226e-05 7.365619307708138274e-05 1.207096911159930740e-04 1.625441295579409078e-04 2.152055466460969563e-04 -2.961121167430683802e-09 -2.087292152355770166e-07 -2.344703266561075432e-06 -1.017541872650905788e-05 -2.059382932538104756e-05 -1.409835270866506270e-05 2.529401493182784050e-05 8.342580770719024293e-05 1.390725259091203289e-04 2.038622291282295943e-04 -1.143167089695821707e-10 -1.623666906531836549e-08 -3.245843749813345177e-07 -2.514066805231669827e-06 -9.871427440996362801e-06 -2.012658805800239902e-05 -1.337221067066298922e-05 3.231044663945878962e-05 1.026533369926656465e-04 1.839375544739001546e-04 -1.892777455458135602e-12 -5.625649208992099142e-10 -2.034479198013667148e-08 -2.771236838110215023e-07 -1.987626951188658241e-06 -8.280009701615831771e-06 -1.884462116495700331e-05 -1.205804671299976108e-05 4.754110004248205442e-05 1.518150718166028448e-04 -7.519301881967543921e-15 -5.010598365913256531e-12 -3.512169770016143040e-10 -8.817293985846785752e-09 -1.180621891042907589e-07 -9.840313307631503859e-07 -5.238159267196585160e-06 -1.572157454861296467e-05 -8.620224755152433932e-06 9.542909912754330207e-05 -1.262550302927398458e-18 -2.184522860906346871e-15 -3.507072621425343446e-13 -1.914502293668378238e-11 -5.556834739087559971e-10 -1.058177338741110413e-08 -1.453556395939694487e-07 -1.436226546522526215e-06 -8.292470583163471777e-06 1.397670732552365074e-05
5.869978549199581647e-02 -7.653543620019109822e-06 4.037785925054164569e-05 7.681857525402752715e-05 9.669051975734787631e-05 1.096533277261430462e-04 1.196829760355878658e-04 1.282380827981477879e-04 1.361028421878311169e-04 1.440643582989473777e-04 1.545243828865315214e-04 -1.182898529193545541e-05 -1.608341995087411914e-05 3.060628425716667184e-05 8.032178261367874290e-05 1.147195422683507034e-04 1.390498194244404139e-04 1.588759024130850664e-04 1.769309668902216165e-04 1.951915867793404440e-04 2.191820173146489040e-04 -2.953410212986863848e-06 -1.967961679324866669e-05 -1.674359444611978195e-05 2.536747147064496123e-05 7.724407384858811407e-05 1.183894462824537354e-04 1.496162010406823777e-04 1.766478398305691743e-04 2.036974743224359541e-04 2.392075662811580215e-04 -4.570305080280835892e-07 -7.606419058827449570e-06 -2.205880089321093004e-05 -1.651743246349848498e-05 2.375011455647753908e-05 7.747412377372118217e-05 1.237441157588261491e-04 1.612985145734401049e-04 1.971572467186964944e-04 2.438952196906055733e-04 -4.833160025113051575e-08 -1.695297114705693648e-06 -1.027561648760735790e-05 -2.277145812886132678e-05 -1.603871174832574443e-05 2.464498044365107424e-05 8.191369863048583277e-05 1.339546259500959673e-04 1.802320323341126331e-04 2.385084148656993984e-04 -3.306815870048610891e-09 -2.323770858213639918e-07 -2.603223826359615615e-06 -1.126403692280944412e-05 -2.271121195020086271e-05 -1.539486583210411170e-05 2.813335417112957461e-05 9.210840527512848593e-05 1.532628791301919135e-04 2.244964733470224127e-04 -1.269960183539976716e-10 -1.798734705842489722e-08 -3.587413051590281237e-07 -2.772060243826336110e-06 -1.085523489853769738e-05 -2.205419992156930920e-05 -1.450581148907457845e-05 3.562057749363431452e-05 1.125134246585595359e-04 2.013058347861040507e-04 -2.091151416865543868e-12 -6.200127582499627259e-10 -2.237640021009063386e-08 -3.041916043131438665e-07 -2.177080509483594195e-06 -9.046264733159193038e-06 -2.051788090732035546e-05 -1.298393514070834940e-05 5.192292130036646317e-05 1.651120952573403736e-04 -8.255189411284952700e-15 -5.490041714994710165e-12 -3.841533100171147003e-10 -9.627985399217851662e-09 -1.286907085043054673e-07 -1.070466414318624669e-06 -5.684098741878054592e-06 -1.699960328871633736e-05 -9.175038438487235506e-06 1.031194515250850077e-04 -1.374493163889453233e-18 -2.374908759673815084e-15 -3.807765435461871129e-13 -2.075957329075518436e-11 -6.017315792703947049e-10 -1.144147663533174045e-08 -1.568803683597344401e-07 -1.546325127988080988e-06 -8.892254314889616311e-06 1.506105649835832464e-05
8.363033126146603158e-02 -8.418888968762497138e-06 4.660503880396404166e-05 8.778441975527708472e-05 1.101936664945382232e-04 1.248257320359458971e-04 1.361534204946948049e-04 1.458168880525668955e-04 1.547006830087275576e-04 1.636937773071554564e-04 1.755091134245266235e-04 -1.325067276216437449e-05 -1.769417617287442207e-05 3.452946214572958391e-05 8.971755527639186506e-05 1.278042446828245911e-04 1.547508881778576165e-04 1.767228348720700293e-04 1.967360480398622170e-04 2.169776096546393055e-04 2.435705903004815106e-04 -3.279292877851975370e-06 -2.170424914450769211e-05 -1.820551226937877444e-05 2.829132088458822587e-05 8.521706007277813971e-05 1.302536924228984928e-04 1.644335307127961000e-04 1.940393480579448416e-04 2.236707805376117084e-04 2.625709268107154692e-04 -5.036748276059853664e-07 -8.342201541534453987e-06 -2.405964387526831296e-05 -1.779016467067519146e-05 2.622759045820266803e-05 8.463509564634679155e-05 1.348215288862185954e-04 1.755551655120739176e-04 2.144711841052381214e-04 2.652006670292253606e-04 -5.291389782671327880e-08 -1.848568322960908311e-06 -1.116079675683814887e-05 -2.461447240940806548e-05 -1.713281852714460427e-05 2.695379312281444463e-05 8.870330468914149210e-05 1.447006700269058319e-04 1.945075950503289840e-04 2.572560510310791882e-04 -3.598183486879667224e-09 -2.519491082289090358e-07 -2.813573698497033568e-06 -1.213268153176956917e-05 -2.435584747748977561e-05 -1.631954748275312692e-05 3.046695607249357346e-05 9.891022441652439900e-05 1.642309556391021580e-04 2.403562375685671683e-04 -1.373514929105775867e-10 -1.939146081211811264e-08 -3.856992615580604960e-07 -2.972215020141213901e-06 -1.160287624152689940e-05 -2.347652846260707247e-05 -1.525986705346191674e-05 3.818365478769543566e-05 1.198068994221673436e-04 2.139883965499747402e-04 -2.247284335750878705e-12 -6.644295462196453357e-10 -2.392254237503211727e-08 -3.244627518207118833e-07 -2.316384401572395667e-06 -9.596876972482352519e-06 -2.168008798454306479e-05 -1.354205921839823126e-05 5.506070873566495515e-05 1.742439618338057221e-04 -8.807081159870697129e-15 -5.843606292091916117e-12 -4.080690290874545438e-10 -1.020752766641457402e-08 -1.361594526517380865e-07 -1.129959097896305007e-06 -5.982697571256056465e-06 -1.781909365458324767e-05 -9.440120897008395302e-06 1.080102796685197787e-04 -1.452158775563955316e-18 -2.505062807313477400e-15 -4.010390178379297899e-13 -2.183141310052433430e-11 -6.318078666924248868e-10 -1.199246201123110182e-08 -1.640900088877658996e-07 -1.612820766086150224e-06 -9.231372594922229716e-06 1.572333304267226558e-05
1.191491970248551024e-01 -8.982233472245235975e-06 5.268287560590617570e-05 9.811369437096262519e-05 1.227787951284125840e-04 1.389019839089676773e-04 1.513922058647235462e-04 1.620488477108024373e-04 1.718458244081474940e-04 1.817633427026194980e-04 1.947932087433750870e-04 -1.447025227862518917e-05 -1.891817252271349952e-05 3.801173938671154425e-05 9.765154366307753292e-05 1.386905077560242263e-04 1.677353090620694405e-04 1.914352586999306717e-04 2.130272984339233715e-04 2.348663089124242024e-04 2.635580229446345818e-04 -3.544736120787374164e-06 -2.327844815283473058e-05 -1.920279638910464299e-05 3.073116683227877354e-05 9.143076186219649599e-05 1.393148462681075938e-04 1.756561855780597824e-04 2.071561347578148855e-04 2.386905100952339083e-04 2.800897239184252808e-04 -5.397455410700171435e-07 -8.889572396941410002e-06 -2.547479960714971940e-05 -1.855986824272908589e-05 2.816608306588406721e-05 8.977824792279822394e-05 1.425766135186280704e-04 1.854314649321152754e-04 2.264002879979748071e-04 2.798137498962101366e-04 -5.627128925099376005e-08 -1.956709961412685748e-06 -1.176012375713920474e-05 -2.579179135591742159e-05 -1.770414530055420692e-05 2.862461745481510015e-05 9.314173512731459368e-05 1.515107636729516084e-04 2.034413033777981766e-04 2.688980939223109003e-04 -3.799366548916851675e-09 -2.649355618758745579e-07 -2.947770565503884041e-06 -1.266104355144450733e-05 -2.528755178342804137e-05 -1.671445876464984086e-05 3.198954193538350630e-05 1.028546630496294173e-04 1.703622089641499044e-04 2.490828340392245909e-04 -1.440163784521397408e-10 -2.025656360589296425e-08 -4.016427037487193683e-07 -3.085249703625240444e-06 -1.200070179987422652e-05 -2.416572311241757678e-05 -1.549073942301781918e-05 3.962242726234415150e-05 1.233712440743446603e-04 2.199196305041094593e-04 -2.338956364115475943e-12 -6.892752600284580123e-10 -2.474882366635904807e-08 -3.347741628743006675e-07 -2.383097367820762620e-06 -9.839633939809165671e-06 -2.212558598420416581e-05 -1.361014413113102460e-05 5.642541478073829597e-05 1.775684775078177017e-04 -9.089075637422100149e-15 -6.014618364259379575e-12 -4.190282730144801886e-10 -1.045803891654727259e-08 -1.391714767237266045e-07 -1.151837453052903926e-06 -6.078117503187361096e-06 -1.801684887296098626e-05 -9.337132964118555466e-06 1.091168316724526027e-04 -1.481784912891556303e-18 -2.551391231607892590e-15 -4.077410716057027285e-13 -2.215755118857017270e-11 -6.400799928587555150e-10 -1.212494928014330417e-08 -1.654984018450866933e-07 -1.621329611169637610e-06 -9.229800054046952419e-06 1.582196260503578128e-05
1.697533770048453017e-01 -9.238815631494920518e-06 5.814286698022374410e-05 1.068952065286571444e-04 1.332946031942210542e-04 1.505742969446234028e-04 1.639703963940994738e-04 1.754016638684880380e-04 1.859109439293498182e-04 1.965495382312298944e-04 2.105267709403644953e-04 -1.534358100979047230e-05 -1.956563864031319965e-05 4.067335099577348368e-05 1.031501521311955127e-04 1.459982660237865162e-04 1.763356182623248387e-04 2.011109656727382564e-04 2.236885429730628232e-04 2.465250794249442034e-04 2.765273670125413877e-04 -3.714402947866451347e-06 -2.417193214766992049e-05 -1.955099684663454232e-05 3.237542284532451086e-05 9.498063826473533710e-05 1.442050317324710675e-04 1.815650603375959906e-04 2.139740238751380267e-04 2.464268258329118766e-04 2.890328040204532363e-04 -5.599141185720393580e-07 -9.161783567127942946e-06 -2.606001134623887411e-05 -1.865737367635465787e-05 2.928240779449201381e-05 9.203816600230988203e-05 1.456513199318662424e-04 1.891698484951626037e-04 2.308039497816865052e-04 2.850940746575674053e-04 -5.785752233667145031e-08 -2.000996373340551988e-06 -1.196290237826342577e-05 -2.606638914547892334e-05 -1.760093202028282432e-05 2.937728931370788536e-05 9.436530371692263279e-05 1.530009279436462990e-04 2.051858825693378245e-04 2.710015028151722461e-04 -3.874312355621575648e-09 -2.688642460691619180e-07 -2.978768327268493937e-06 -1.273530830520026211e-05 -2.528557442827777406e-05 -1.644618607988801429e-05 3.240216317634083993e-05 1.030361245805868617e-04 1.701814394231680890e-04 2.485341797202564882e-04 -1.456640900312632007e-10 -2.039957886984388715e-08 -4.030049681904645342e-07 -3.084292023094513867e-06 -1.194666609312217777e-05 -2.392337539593920553e-05 -1.508532867210018372e-05 3.959085541200731275e-05 1.221922577667361768e-04 2.173219105080266968e-04 -2.345458168899253935e-12 -6.885696661620043904e-10 -2.464447166204063073e-08 -3.323293665618766470e-07 -2.357755739525662889e-06 -9.696453021408169066e-06 -2.168618561531230021e-05 -1.310052085955495115e-05 5.557067223909799698e-05 1.737579692977377196e-04 -9.025106998501390865e-15 -5.953770930487674626e-12 -4.136618640834349034e-10 -1.029708361383596688e-08 -1.366536435418517436e-07 -1.127453603352152619e-06 -5.926315314420300058e-06 -1.746939210889528814e-05 -8.820019006896061712e-06 1.057003512149626788e-04 -1.452130589844582311e-18 -2.494903112430928724e-15 -3.979035493967590305e-13 -2.157919138323060931e-11 -6.220565478190034399e-10 -1.175592946827094010e-08 -1.600076854673778858e-07 -1.561575990250637840e-06 -8.833772268718517520e-06 1.525455665388599881e-05
2.418497960883272957e-01 -9.090305974103903721e-06 6.242474088719639842e-05 1.130979459674224413e-04 1.404581194042028500e-04 1.583945532367569855e-04 1.723115663167710903e-04 1.841893597996301882e-04 1.951093427320342729e-04 2.061637031740784108e-04 2.206871793966063040e-04 -1.572521903855361104e-05 -1.946817453015583114e-05 4.211324548612230338e-05 1.052496207101516614e-04 1.483861685358490935e-04 1.789429746969434319e-04 2.039215564367788164e-04 2.266909489340534730e-04 2.497223089518739230e-04 2.799805987616348231e-04 -3.754737990823707968e-06 -2.417724308136672741e-05 -1.910467365604054616e-05 3.291839006892815898e-05 9.504994054984439264e-05 1.437175764257362645e-04 1.806579363396170358e-04 2.127325995102032085e-04 2.448601192338932769e-04 2.870401909501172797e-04 -5.594106679223858870e-07 -9.084433505347407699e-06 -2.561679968895948147e-05 -1.796459171181285434e-05 2.931868150852841602e-05 9.070024218880775473e-05 1.429550386953462734e-04 1.853747980991752935e-04 2.259923570291864350e-04 2.789672344420524963e-04 -5.721177695270381246e-08 -1.966256449744531812e-06 -1.168323424430265030e-05 -2.526489501894769229e-05 -1.673113444915129503e-05 2.897758169706640756e-05 9.172751888873854713e-05 1.481683536665814622e-04 1.984201762670663330e-04 2.618399065788778709e-04 -3.794467362691754751e-09 -2.618564354546858323e-07 -2.886819935842708884e-06 -1.227626584267393336e-05 -2.420670124489028552e-05 -1.544764728811398070e-05 3.148055869650615625e-05 9.885396106744137905e-05 1.627457751329134501e-04 2.373625523985037518e-04 -1.413172972486295993e-10 -1.969145307608446606e-08 -3.873729039194785663e-07 -2.951974975113774131e-06 -1.137855239464510844e-05 -2.263887046894689836e-05 -1.400097253392603451e-05 3.786621566533611416e-05 1.157005660285767183e-04 2.052383208319605290e-04 -2.252877839339503424e-12 -6.584839829790171832e-10 -2.348045223055295589e-08 -3.154962868175993598e-07 -2.229634833337056270e-06 -9.127506805105793861e-06 -2.028626984805596766e-05 -1.199571295512060973e-05 5.227150295979149922e-05 1.622428917246377300e-04 -8.570586279027462475e-15 -5.633637572757320729e-12 -3.901886673783909907e-10 -9.683375311988355361e-09 -1.281013409585257559e-07 -1.053061205499207878e-06 -5.510383326448691644e-06 -1.613895110055382746e-05 -7.899498353646017401e-06 9.754615429836208248e-05 -1.358165898005058815e-18 -2.327601794811387172e-15 -3.703488431397937706e-13 -2.003782536048719876e-11 -5.762142402808574784e-10 -1.086009148531249040e-08 -1.473314879434175185e-07 -1.431544562151375003e-06 -8.039378663349789722e-06 1.399894401953563022e-05
