# z	luminosity
0.	0.02555426454446985
0.04	0.08467091946888433
0.08	0.1270992083277226
0.12	0.16643375391606047
0.16	0.17672440753252677
0.2	0.17697607537146498
0.24	0.17217320673196346
0.28	0.16385607109506392
0.32	0.1313227497577787
0.36	0.1745994693164229
0.4	0.18541814245604074
0.44	0.19657718620587164
0.48	0.20788554744423793
0.52	0.2336035324541177
0.56	0.2769130418135315
0.6	0.3259973488810591
0.64	0.3820640469548151
0.68	0.4453944366382141
0.72	0.4820990176914395
0.76	0.4839885708985562
0.8	0.48402119744976757
0.84	0.4827774002305864
0.88	0.48070533434551505
0.92	0.49020822444684875
0.96	0.5135882040113843
1.	0.537619347301646
1.04	0.5620452094653283
1.08	0.5869178590201877
1.12	0.6127211449556171
1.16	0.6448136086862287
1.2	0.6921468339496962
1.24	0.7418363336503534
1.28	0.7936374069306319
1.32	0.847394650378998
1.36	0.9023980749858372
1.4000000000000001	0.9572412638757712
1.44	1.0074149202606668
1.48	1.0578237936784805
1.52	1.1137037049200518
1.56	1.176494387537008
1.6	1.2429841895869798
1.6400000000000001	1.3028712522663541
1.68	1.3475286979667724
1.72	1.3866336031210778
1.76	1.424978794984031
1.8	1.4611685254655216
1.84	1.4938555371769204
1.8800000000000001	1.5244080813671905
1.92	1.5540708365244191
1.96	1.5829337884348316
2.	1.6097910038667198
2.04	1.6314076067227155
2.08	1.6509982077032228
2.12	1.6697724515473984
2.16	1.688016124273722
2.2	1.7050267317335883
2.24	1.7212235058856689
2.2800000000000002	1.7374202800377496
2.32	1.75361705418983
2.36	1.7698138283419107
2.4	1.7860106024939912
2.44	1.8022073766460718
2.48	1.8184041507981525
2.52	1.834600924950233
2.56	1.8507976991023138
2.6	1.8669944732543944
2.64	1.883191247406475
2.68	1.8993880215585557
2.72	1.9155847957106362
2.7600000000000002	1.9317815698627168
2.8000000000000003	1.9479783440147975
2.84	1.9641751181668778
2.88	1.9803718923189586
2.92	1.9965686664710391
2.96	2.0127654406231197
3.	2.0289622147752002
3.04	2.045158988927281
3.08	2.0613557630793617
3.12	2.0775525372314423
3.16	2.093749311383523
3.2	2.1099460855356034
3.24	2.1261428596876843
3.2800000000000002	2.142339633839765
3.3200000000000003	2.1585364079918454
3.36	2.174733182143926
3.4	2.1909299562960065
3.44	2.207126730448087
3.48	2.2233235046001676
3.52	2.2395202787522486
3.56	2.255717052904329
3.6	2.2719138270564097
3.64	2.28811060120849
3.68	2.3043073753605707
3.72	2.3205041495126517
3.7600000000000002	2.3367009236647323
3.8000000000000003	2.352897697816813
3.84	2.3690944719688933
3.88	2.385291246120974
3.92	2.4014880202730544
3.96	2.417684794425135
4.	2.433881568577216
