# r[Mpc]	l	z	multipoles_value
4.0000000000e+01	0	1.0000000000e+00	5.4680943496e-02
4.5000000000e+01	0	1.0000000000e+00	4.0529467000e-02
5.0000000000e+01	0	1.0000000000e+00	3.0553864465e-02
5.5000000000e+01	0	1.0000000000e+00	2.3360898679e-02
6.0000000000e+01	0	1.0000000000e+00	1.8067032951e-02
6.5000000000e+01	0	1.0000000000e+00	1.4101305425e-02
7.0000000000e+01	0	1.0000000000e+00	1.1089547110e-02
7.5000000000e+01	0	1.0000000000e+00	8.7728835281e-03
8.0000000000e+01	0	1.0000000000e+00	6.9720194569e-03
8.5000000000e+01	0	1.0000000000e+00	5.5596697920e-03
9.0000000000e+01	0	1.0000000000e+00	4.4403217081e-03
9.5000000000e+01	0	1.0000000000e+00	3.5457021760e-03
1.0000000000e+02	0	1.0000000000e+00	2.8217106724e-03
1.0500000000e+02	0	1.0000000000e+00	2.2245385283e-03
1.1000000000e+02	0	1.0000000000e+00	1.7250420744e-03
1.1500000000e+02	0	1.0000000000e+00	1.3065038895e-03
1.2000000000e+02	0	1.0000000000e+00	9.7233833534e-04
1.2500000000e+02	0	1.0000000000e+00	7.6488433762e-04
1.3000000000e+02	0	1.0000000000e+00	7.6457710542e-04
1.3500000000e+02	0	1.0000000000e+00	1.0365356403e-03
1.4000000000e+02	0	1.0000000000e+00	1.4945673701e-03
1.4500000000e+02	0	1.0000000000e+00	1.8817467991e-03
1.5000000000e+02	0	1.0000000000e+00	1.9710480616e-03
1.5500000000e+02	0	1.0000000000e+00	1.7382769549e-03
1.6000000000e+02	0	1.0000000000e+00	1.3176377289e-03
1.6500000000e+02	0	1.0000000000e+00	8.6183173449e-04
1.7000000000e+02	0	1.0000000000e+00	4.6549969901e-04
1.7500000000e+02	0	1.0000000000e+00	1.6105391946e-04
1.8000000000e+02	0	1.0000000000e+00	-5.6696534477e-05
1.8500000000e+02	0	1.0000000000e+00	-2.0485511334e-04
1.9000000000e+02	0	1.0000000000e+00	-3.0032723641e-04
1.9500000000e+02	0	1.0000000000e+00	-3.5674245418e-04
2.0000000000e+02	0	1.0000000000e+00	-3.8600943510e-04
2.0500000000e+02	0	1.0000000000e+00	-3.9845872257e-04
2.1000000000e+02	0	1.0000000000e+00	-4.0050138647e-04
2.1500000000e+02	0	1.0000000000e+00	-3.9512247443e-04
2.2000000000e+02	0	1.0000000000e+00	-3.8511612029e-04
2.2500000000e+02	0	1.0000000000e+00	-3.7287836913e-04
2.3000000000e+02	0	1.0000000000e+00	-3.5881278933e-04
2.3500000000e+02	0	1.0000000000e+00	-3.4278542139e-04
2.4000000000e+02	0	1.0000000000e+00	-3.2588309301e-04
2.4500000000e+02	0	1.0000000000e+00	-3.0924824260e-04
2.5000000000e+02	0	1.0000000000e+00	-2.9326390254e-04
2.5500000000e+02	0	1.0000000000e+00	-2.7825908193e-04
2.6000000000e+02	0	1.0000000000e+00	-2.6431601842e-04
2.6500000000e+02	0	1.0000000000e+00	-2.5080935634e-04
2.7000000000e+02	0	1.0000000000e+00	-2.3727624447e-04
2.7500000000e+02	0	1.0000000000e+00	-2.2387655904e-04
2.8000000000e+02	0	1.0000000000e+00	-2.1084662827e-04
2.8500000000e+02	0	1.0000000000e+00	-1.9850371825e-04
2.9000000000e+02	0	1.0000000000e+00	-1.8754233804e-04
2.9500000000e+02	0	1.0000000000e+00	-1.7827780497e-04
3.0000000000e+02	0	1.0000000000e+00	-1.7028187476e-04
3.0500000000e+02	0	1.0000000000e+00	-1.6307877653e-04
