# r[Mpc]	l	z	multipoles_value
4.0000000000e+01	0	1.0000000000e+00	9.2899997988e-06
4.5000000000e+01	0	1.0000000000e+00	9.0447320481e-06
5.0000000000e+01	0	1.0000000000e+00	8.7718047722e-06
5.5000000000e+01	0	1.0000000000e+00	8.4840969367e-06
6.0000000000e+01	0	1.0000000000e+00	8.1902682139e-06
6.5000000000e+01	0	1.0000000000e+00	7.8962195955e-06
7.0000000000e+01	0	1.0000000000e+00	7.6059541818e-06
7.5000000000e+01	0	1.0000000000e+00	7.3222064166e-06
8.0000000000e+01	0	1.0000000000e+00	7.0467752871e-06
8.5000000000e+01	0	1.0000000000e+00	6.7808474760e-06
9.0000000000e+01	0	1.0000000000e+00	6.5251353024e-06
9.5000000000e+01	0	1.0000000000e+00	6.2800363173e-06
1.0000000000e+02	0	1.0000000000e+00	6.0457310190e-06
1.0500000000e+02	0	1.0000000000e+00	5.8222670109e-06
1.1000000000e+02	0	1.0000000000e+00	5.6097037048e-06
1.1500000000e+02	0	1.0000000000e+00	5.4082681785e-06
1.2000000000e+02	0	1.0000000000e+00	5.2185354741e-06
1.2500000000e+02	0	1.0000000000e+00	5.0416359332e-06
1.3000000000e+02	0	1.0000000000e+00	4.8791625681e-06
1.3500000000e+02	0	1.0000000000e+00	4.7323101514e-06
1.4000000000e+02	0	1.0000000000e+00	4.5999885427e-06
1.4500000000e+02	0	1.0000000000e+00	4.4774527158e-06
1.5000000000e+02	0	1.0000000000e+00	4.3576300305e-06
1.5500000000e+02	0	1.0000000000e+00	4.2344205771e-06
1.6000000000e+02	0	1.0000000000e+00	4.1049931730e-06
1.6500000000e+02	0	1.0000000000e+00	3.9697221589e-06
1.7000000000e+02	0	1.0000000000e+00	3.8308013210e-06
1.7500000000e+02	0	1.0000000000e+00	3.6908790634e-06
1.8000000000e+02	0	1.0000000000e+00	3.5522668263e-06
1.8500000000e+02	0	1.0000000000e+00	3.4166932330e-06
1.9000000000e+02	0	1.0000000000e+00	3.2853384640e-06
1.9500000000e+02	0	1.0000000000e+00	3.1589414117e-06
2.0000000000e+02	0	1.0000000000e+00	3.0378924042e-06
2.0500000000e+02	0	1.0000000000e+00	2.9223166703e-06
2.1000000000e+02	0	1.0000000000e+00	2.8121728066e-06
2.1500000000e+02	0	1.0000000000e+00	2.7073338090e-06
2.2000000000e+02	0	1.0000000000e+00	2.6076164384e-06
2.2500000000e+02	0	1.0000000000e+00	2.5127994521e-06
2.3000000000e+02	0	1.0000000000e+00	2.4226560606e-06
2.3500000000e+02	0	1.0000000000e+00	2.3369652624e-06
2.4000000000e+02	0	1.0000000000e+00	2.2554971773e-06
2.4500000000e+02	0	1.0000000000e+00	2.1780118716e-06
2.5000000000e+02	0	1.0000000000e+00	2.1042742732e-06
2.5500000000e+02	0	1.0000000000e+00	2.0340606905e-06
2.6000000000e+02	0	1.0000000000e+00	1.9671630384e-06
2.6500000000e+02	0	1.0000000000e+00	1.9033961920e-06
2.7000000000e+02	0	1.0000000000e+00	1.8425927681e-06
2.7500000000e+02	0	1.0000000000e+00	1.7845903657e-06
2.8000000000e+02	0	1.0000000000e+00	1.7292270435e-06
2.8500000000e+02	0	1.0000000000e+00	1.6763411923e-06
2.9000000000e+02	0	1.0000000000e+00	1.6257701767e-06
2.9500000000e+02	0	1.0000000000e+00	1.5773591321e-06
3.0000000000e+02	0	1.0000000000e+00	1.5309743872e-06
3.0500000000e+02	0	1.0000000000e+00	1.4865044182e-06
3.1000000000e+02	0	1.0000000000e+00	1.4438530341e-06
3.1500000000e+02	0	1.0000000000e+00	1.4029376116e-06
3.2000000000e+02	0	1.0000000000e+00	1.3636881117e-06
3.2500000000e+02	0	1.0000000000e+00	1.3260385397e-06
3.3000000000e+02	0	1.0000000000e+00	1.2899187548e-06
3.3500000000e+02	0	1.0000000000e+00	1.2552560039e-06
3.4000000000e+02	0	1.0000000000e+00	1.2219778141e-06
3.4500000000e+02	0	1.0000000000e+00	1.1900100360e-06
3.5000000000e+02	0	1.0000000000e+00	1.1592779020e-06
3.5500000000e+02	0	1.0000000000e+00	1.1297134535e-06
3.6000000000e+02	0	1.0000000000e+00	1.1012604224e-06
3.6500000000e+02	0	1.0000000000e+00	1.0738708910e-06
3.7000000000e+02	0	1.0000000000e+00	1.0474990840e-06
3.7500000000e+02	0	1.0000000000e+00	1.0220976483e-06
3.8000000000e+02	0	1.0000000000e+00	9.9761671238e-07
3.8500000000e+02	0	1.0000000000e+00	9.7400573976e-07
4.0000000000e+01	2	1.0000000000e+00	2.3772315110e-05
4.5000000000e+01	2	1.0000000000e+00	2.4037325184e-05
5.0000000000e+01	2	1.0000000000e+00	2.4144228447e-05
5.5000000000e+01	2	1.0000000000e+00	2.4129203302e-05
6.0000000000e+01	2	1.0000000000e+00	2.4019765084e-05
6.5000000000e+01	2	1.0000000000e+00	2.3837024442e-05
7.0000000000e+01	2	1.0000000000e+00	2.3597407180e-05
7.5000000000e+01	2	1.0000000000e+00	2.3313753616e-05
8.0000000000e+01	2	1.0000000000e+00	2.2996280315e-05
8.5000000000e+01	2	1.0000000000e+00	2.2653074163e-05
9.0000000000e+01	2	1.0000000000e+00	2.2290662370e-05
9.5000000000e+01	2	1.0000000000e+00	2.1914279153e-05
1.0000000000e+02	2	1.0000000000e+00	2.1528127911e-05
1.0500000000e+02	2	1.0000000000e+00	2.1135548596e-05
1.1000000000e+02	2	1.0000000000e+00	2.0738977653e-05
1.1500000000e+02	2	1.0000000000e+00	2.0339869836e-05
1.2000000000e+02	2	1.0000000000e+00	1.9938556188e-05
1.2500000000e+02	2	1.0000000000e+00	1.9534059330e-05
1.3000000000e+02	2	1.0000000000e+00	1.9124608826e-05
1.3500000000e+02	2	1.0000000000e+00	1.8709765005e-05
1.4000000000e+02	2	1.0000000000e+00	1.8294384553e-05
1.4500000000e+02	2	1.0000000000e+00	1.7890578242e-05
1.5000000000e+02	2	1.0000000000e+00	1.7513253003e-05
1.5500000000e+02	2	1.0000000000e+00	1.7172193287e-05
1.6000000000e+02	2	1.0000000000e+00	1.6867944292e-05
1.6500000000e+02	2	1.0000000000e+00	1.6593692686e-05
1.7000000000e+02	2	1.0000000000e+00	1.6339692405e-05
1.7500000000e+02	2	1.0000000000e+00	1.6096817682e-05
1.8000000000e+02	2	1.0000000000e+00	1.5858210945e-05
1.8500000000e+02	2	1.0000000000e+00	1.5619439199e-05
1.9000000000e+02	2	1.0000000000e+00	1.5378012479e-05
1.9500000000e+02	2	1.0000000000e+00	1.5132830645e-05
2.0000000000e+02	2	1.0000000000e+00	1.4883758947e-05
2.0500000000e+02	2	1.0000000000e+00	1.4631294329e-05
2.1000000000e+02	2	1.0000000000e+00	1.4376248737e-05
2.1500000000e+02	2	1.0000000000e+00	1.4119521217e-05
2.2000000000e+02	2	1.0000000000e+00	1.3862021912e-05
2.2500000000e+02	2	1.0000000000e+00	1.3604630245e-05
2.3000000000e+02	2	1.0000000000e+00	1.3348125584e-05
2.3500000000e+02	2	1.0000000000e+00	1.3093176679e-05
2.4000000000e+02	2	1.0000000000e+00	1.2840391587e-05
2.4500000000e+02	2	1.0000000000e+00	1.2590328649e-05
2.5000000000e+02	2	1.0000000000e+00	1.2343468970e-05
2.5500000000e+02	2	1.0000000000e+00	1.2100211240e-05
2.6000000000e+02	2	1.0000000000e+00	1.1860871963e-05
2.6500000000e+02	2	1.0000000000e+00	1.1625678415e-05
2.7000000000e+02	2	1.0000000000e+00	1.1394791292e-05
2.7500000000e+02	2	1.0000000000e+00	1.1168342636e-05
2.8000000000e+02	2	1.0000000000e+00	1.0946449351e-05
2.8500000000e+02	2	1.0000000000e+00	1.0729215698e-05
2.9000000000e+02	2	1.0000000000e+00	1.0516737581e-05
2.9500000000e+02	2	1.0000000000e+00	1.0309082657e-05
3.0000000000e+02	2	1.0000000000e+00	1.0106261314e-05
3.0500000000e+02	2	1.0000000000e+00	9.9082304221e-06
3.1000000000e+02	2	1.0000000000e+00	9.7149145260e-06
3.1500000000e+02	2	1.0000000000e+00	9.5262129624e-06
3.2000000000e+02	2	1.0000000000e+00	9.3420043578e-06
3.2500000000e+02	2	1.0000000000e+00	9.1621690826e-06
3.3000000000e+02	2	1.0000000000e+00	8.9866079789e-06
3.3500000000e+02	2	1.0000000000e+00	8.8152369788e-06
3.4000000000e+02	2	1.0000000000e+00	8.6479785223e-06
3.4500000000e+02	2	1.0000000000e+00	8.4847657956e-06
3.5000000000e+02	2	1.0000000000e+00	8.3255390623e-06
3.5500000000e+02	2	1.0000000000e+00	8.1702269934e-06
3.6000000000e+02	2	1.0000000000e+00	8.0187362339e-06
3.6500000000e+02	2	1.0000000000e+00	7.8709609316e-06
3.7000000000e+02	2	1.0000000000e+00	7.7267987856e-06
3.7500000000e+02	2	1.0000000000e+00	7.5861593257e-06
3.8000000000e+02	2	1.0000000000e+00	7.4489651869e-06
