# r[Mpc]	l	z	multipoles_value
4.0000000000e+01	0	1.0000000000e+00	6.4136385929e-05
4.5000000000e+01	0	1.0000000000e+00	5.7678668229e-05
5.0000000000e+01	0	1.0000000000e+00	5.2197483626e-05
5.5000000000e+01	0	1.0000000000e+00	4.7492337520e-05
6.0000000000e+01	0	1.0000000000e+00	4.3414615598e-05
6.5000000000e+01	0	1.0000000000e+00	3.9851572717e-05
7.0000000000e+01	0	1.0000000000e+00	3.6715974046e-05
7.5000000000e+01	0	1.0000000000e+00	3.3939191017e-05
8.0000000000e+01	0	1.0000000000e+00	3.1466445333e-05
8.5000000000e+01	0	1.0000000000e+00	2.9253458348e-05
9.0000000000e+01	0	1.0000000000e+00	2.7264043248e-05
9.5000000000e+01	0	1.0000000000e+00	2.5468334220e-05
1.0000000000e+02	0	1.0000000000e+00	2.3841459959e-05
1.0500000000e+02	0	1.0000000000e+00	2.2362546126e-05
1.1000000000e+02	0	1.0000000000e+00	2.1013945589e-05
1.1500000000e+02	0	1.0000000000e+00	1.9780644617e-05
1.2000000000e+02	0	1.0000000000e+00	1.8649797952e-05
1.2500000000e+02	0	1.0000000000e+00	1.7610363068e-05
1.3000000000e+02	0	1.0000000000e+00	1.6652813355e-05
1.3500000000e+02	0	1.0000000000e+00	1.5768907476e-05
1.4000000000e+02	0	1.0000000000e+00	1.4951491281e-05
1.4500000000e+02	0	1.0000000000e+00	1.4194321796e-05
1.5000000000e+02	0	1.0000000000e+00	1.3491888472e-05
1.5500000000e+02	0	1.0000000000e+00	1.2839258090e-05
1.6000000000e+02	0	1.0000000000e+00	1.2231957604e-05
1.6500000000e+02	0	1.0000000000e+00	1.1665906899e-05
1.7000000000e+02	0	1.0000000000e+00	1.1137383613e-05
1.7500000000e+02	0	1.0000000000e+00	1.0643009082e-05
1.8000000000e+02	0	1.0000000000e+00	1.0179738900e-05
1.8500000000e+02	0	1.0000000000e+00	9.7448427513e-06
1.9000000000e+02	0	1.0000000000e+00	9.3358838276e-06
1.9500000000e+02	0	1.0000000000e+00	8.9506913032e-06
2.0000000000e+02	0	1.0000000000e+00	8.5873333202e-06
2.0500000000e+02	0	1.0000000000e+00	8.2440901981e-06
2.1000000000e+02	0	1.0000000000e+00	7.9194269886e-06
2.1500000000e+02	0	1.0000000000e+00	7.6119695363e-06
2.2000000000e+02	0	1.0000000000e+00	7.3204844626e-06
2.2500000000e+02	0	1.0000000000e+00	7.0438618450e-06
2.3000000000e+02	0	1.0000000000e+00	6.7810972693e-06
2.3500000000e+02	0	1.0000000000e+00	6.5312795611e-06
2.4000000000e+02	0	1.0000000000e+00	6.2935790846e-06
2.4500000000e+02	0	1.0000000000e+00	6.0672374809e-06
2.5000000000e+02	0	1.0000000000e+00	5.8515599033e-06
2.5500000000e+02	0	1.0000000000e+00	5.6459081988e-06
2.6000000000e+02	0	1.0000000000e+00	5.4496940558e-06
2.6500000000e+02	0	1.0000000000e+00	5.2623734922e-06
2.7000000000e+02	0	1.0000000000e+00	5.0834422893e-06
2.7500000000e+02	0	1.0000000000e+00	4.9124325580e-06
2.8000000000e+02	0	1.0000000000e+00	4.7489098736e-06
2.8500000000e+02	0	1.0000000000e+00	4.5924696054e-06
2.9000000000e+02	0	1.0000000000e+00	4.4427324134e-06
2.9500000000e+02	0	1.0000000000e+00	4.2993452939e-06
3.0000000000e+02	0	1.0000000000e+00	4.1619780326e-06
3.0500000000e+02	0	1.0000000000e+00	4.0303202809e-06
3.1000000000e+02	0	1.0000000000e+00	3.9040819138e-06
3.1500000000e+02	0	1.0000000000e+00	3.7829886469e-06
3.2000000000e+02	0	1.0000000000e+00	3.6667852741e-06
3.2500000000e+02	0	1.0000000000e+00	3.5552300645e-06
3.3000000000e+02	0	1.0000000000e+00	3.4480959143e-06
3.3500000000e+02	0	1.0000000000e+00	3.3451686693e-06
3.4000000000e+02	0	1.0000000000e+00	3.2462467749e-06
3.4500000000e+02	0	1.0000000000e+00	3.1511398991e-06
3.5000000000e+02	0	1.0000000000e+00	3.0596685195e-06
3.5500000000e+02	0	1.0000000000e+00	2.9716630994e-06
3.6000000000e+02	0	1.0000000000e+00	2.8869633613e-06
3.6500000000e+02	0	1.0000000000e+00	2.8054177396e-06
3.7000000000e+02	0	1.0000000000e+00	2.7268828993e-06
3.7500000000e+02	0	1.0000000000e+00	2.6512231491e-06
3.8000000000e+02	0	1.0000000000e+00	2.5783099731e-06
3.8500000000e+02	0	1.0000000000e+00	2.5080216017e-06
4.0000000000e+01	2	1.0000000000e+00	5.1534515568e-05
4.5000000000e+01	2	1.0000000000e+00	4.9773678592e-05
5.0000000000e+01	2	1.0000000000e+00	4.8017327564e-05
5.5000000000e+01	2	1.0000000000e+00	4.6294053053e-05
6.0000000000e+01	2	1.0000000000e+00	4.4620495892e-05
6.5000000000e+01	2	1.0000000000e+00	4.3005970089e-05
7.0000000000e+01	2	1.0000000000e+00	4.1455169182e-05
7.5000000000e+01	2	1.0000000000e+00	3.9969864434e-05
8.0000000000e+01	2	1.0000000000e+00	3.8549967130e-05
8.5000000000e+01	2	1.0000000000e+00	3.7194204582e-05
9.0000000000e+01	2	1.0000000000e+00	3.5900583890e-05
9.5000000000e+01	2	1.0000000000e+00	3.4666680353e-05
1.0000000000e+02	2	1.0000000000e+00	3.3489847562e-05
1.0500000000e+02	2	1.0000000000e+00	3.2367335841e-05
1.1000000000e+02	2	1.0000000000e+00	3.1296385104e-05
1.1500000000e+02	2	1.0000000000e+00	3.0274272340e-05
1.2000000000e+02	2	1.0000000000e+00	2.9298341272e-05
1.2500000000e+02	2	1.0000000000e+00	2.8366010868e-05
1.3000000000e+02	2	1.0000000000e+00	2.7474760672e-05
1.3500000000e+02	2	1.0000000000e+00	2.6622123399e-05
1.4000000000e+02	2	1.0000000000e+00	2.5805697956e-05
1.4500000000e+02	2	1.0000000000e+00	2.5023189685e-05
1.5000000000e+02	2	1.0000000000e+00	2.4272517644e-05
1.5500000000e+02	2	1.0000000000e+00	2.3551908299e-05
1.6000000000e+02	2	1.0000000000e+00	2.2859934166e-05
1.6500000000e+02	2	1.0000000000e+00	2.2195467329e-05
1.7000000000e+02	2	1.0000000000e+00	2.1557591142e-05
1.7500000000e+02	2	1.0000000000e+00	2.0945493223e-05
1.8000000000e+02	2	1.0000000000e+00	2.0358375932e-05
1.8500000000e+02	2	1.0000000000e+00	1.9795414149e-05
1.9000000000e+02	2	1.0000000000e+00	1.9255730116e-05
1.9500000000e+02	2	1.0000000000e+00	1.8738391818e-05
2.0000000000e+02	2	1.0000000000e+00	1.8242429490e-05
2.0500000000e+02	2	1.0000000000e+00	1.7766842971e-05
2.1000000000e+02	2	1.0000000000e+00	1.7310626707e-05
2.1500000000e+02	2	1.0000000000e+00	1.6872785848e-05
2.2000000000e+02	2	1.0000000000e+00	1.6452346986e-05
2.2500000000e+02	2	1.0000000000e+00	1.6048366427e-05
2.3000000000e+02	2	1.0000000000e+00	1.5659942861e-05
2.3500000000e+02	2	1.0000000000e+00	1.5286218803e-05
2.4000000000e+02	2	1.0000000000e+00	1.4926383681e-05
2.4500000000e+02	2	1.0000000000e+00	1.4579675763e-05
2.5000000000e+02	2	1.0000000000e+00	1.4245380299e-05
