# raw signal
# index,l,r,value,z
0,0,40.0,0.05470934659503153,1.0
1,0,45.0,0.04056282007295248,1.0
2,0,50.0,0.030589677741917128,1.0
3,0,55.0,0.023397642044441058,1.0
4,0,60.0,0.018103763887720087,1.0
5,0,65.0,0.014137444735325173,1.0
6,0,70.0,0.011124740474414377,1.0
7,0,75.0,0.008806923905348096,1.0
8,0,80.0,0.007004794468319941,1.0
9,0,85.0,0.005591128780603976,1.0
10,0,90.0,0.004470457193043938,1.0
11,0,95.0,0.0035745334277921515,1.0
12,0,100.0,0.0028492768199423453,1.0
13,0,105.0,0.002250893948090116,1.0
14,0,110.0,0.0017502475536057503,1.0
15,0,115.0,0.0013306191949114547,1.0
16,0,120.0,0.0009954081523354495,1.0
17,0,125.0,0.0007869085756405562,1.0
18,0,130.0,0.0007854815063928527,1.0
19,0,135.0,0.0010561852777382097,1.0
20,0,140.0,0.001512890048156956,1.0
21,0,145.0,0.0018988708979069781,1.0
22,0,150.0,0.0019872763199340554,1.0
23,0,155.0,0.0017539209985071166,1.0
24,0,160.0,0.0013328913673114038,1.0
25,0,165.0,0.0008767593295421956,1.0
26,0,170.0,0.00048008615300261276,1.0
27,0,175.0,0.0001752567154544199,1.0
28,0,180.0,-4.291637104594098e-05,1.0
29,0,185.0,-0.00019152347414933782,1.0
30,0,190.0,-0.0002874573484104119,1.0
31,0,195.0,-0.0003443377526271117,1.0
32,0,200.0,-0.00037406509042613005,1.0
33,0,205.0,-0.0003869629929540136,1.0
34,0,210.0,-0.0003894388272876345,1.0
35,0,215.0,-0.0003844766842285858,1.0
36,0,220.0,-0.0003748698134661238,1.0
37,0,225.0,-0.00036301361828469994,1.0
38,0,230.0,-0.00034931256611466747,1.0
39,0,235.0,-0.000333633940061151,1.0
40,0,240.0,-0.0003170647324395867,1.0
41,0,245.0,-0.0003007474391892578,1.0
42,0,250.0,-0.00028506570721864664,1.0
43,0,255.0,-0.0002703491367251531,1.0
44,0,260.0,-0.00025668069423020925,1.0
45,0,265.0,-0.00024343626820998087,1.0
46,0,270.0,-0.00023015406016175784,1.0
47,0,275.0,-0.0002169944449499951,1.0
48,0,280.0,-0.00020419415264135563,1.0
49,0,285.0,-0.00019207075445930693,1.0
50,0,290.0,-0.00018131872962454267,1.0
51,0,295.0,-0.00017225364373953193,1.0
52,0,300.0,-0.0001644480691058264,1.0
53,0,305.0,-0.00015742704854853539,1.0
54,0,310.0,-0.0001510081137130779,1.0
55,0,315.0,-0.00014487199608562683,1.0
56,0,320.0,-0.00013853324155903797,1.0
57,0,325.0,-0.00013188697043357993,1.0
58,0,330.0,-0.00012522135883756384,1.0
59,0,335.0,-0.00011867678468898144,1.0
60,0,340.0,-0.00011226833032921906,1.0
61,0,345.0,-0.00010624977770831648,1.0
62,0,350.0,-0.00010092209955981148,1.0
63,0,355.0,-9.622358175476685e-05,1.0
64,0,360.0,-9.181113298962141e-05,1.0
65,0,365.0,-8.742537418642326e-05,1.0
66,0,370.0,-8.302500797465503e-05,1.0
67,0,375.0,-7.870150825798209e-05,1.0
68,0,380.0,-7.464970979700409e-05,1.0
69,0,385.0,-7.10586288414941e-05,1.0
70,2,40.0,-0.067105637361924,1.0
71,2,45.0,-0.05529542321540925,1.0
72,2,50.0,-0.046170868580414595,1.0
73,2,55.0,-0.03897712808611213,1.0
74,2,60.0,-0.03321566452340346,1.0
75,2,65.0,-0.028540874522240616,1.0
76,2,70.0,-0.024700759553707957,1.0
77,2,75.0,-0.021514981325211,1.0
78,2,80.0,-0.018847398575864115,1.0
79,2,85.0,-0.016595402674115446,1.0
80,2,90.0,-0.014682241581263035,1.0
81,2,95.0,-0.01304665791344113,1.0
82,2,100.0,-0.01164258122223677,1.0
83,2,105.0,-0.010434907677885798,1.0
84,2,110.0,-0.009392124449221276,1.0
85,2,115.0,-0.00848506707766474,1.0
86,2,120.0,-0.007679711912667857,1.0
87,2,125.0,-0.006924210698426889,1.0
88,2,130.0,-0.006150155437472946,1.0
89,2,135.0,-0.005308525631069981,1.0
90,2,140.0,-0.004455701907098554,1.0
91,2,145.0,-0.003754239444527883,1.0
92,2,150.0,-0.0033313812677860074,1.0
93,2,155.0,-0.0031712506160014586,1.0
94,2,160.0,-0.0031585516730553314,1.0
95,2,165.0,-0.0031785373580851873,1.0
96,2,170.0,-0.0031656493928572255,1.0
97,2,175.0,-0.003100946109331494,1.0
98,2,180.0,-0.0029915439013257984,1.0
99,2,185.0,-0.002851541628802848,1.0
100,2,190.0,-0.0026936189660433205,1.0
101,2,195.0,-0.0025272516516713158,1.0
102,2,200.0,-0.002360078958676397,1.0
103,2,205.0,-0.002198178436444304,1.0
104,2,210.0,-0.0020446543325863217,1.0
105,2,215.0,-0.00190021373558585,1.0
106,2,220.0,-0.0017654878764618294,1.0
107,2,225.0,-0.0016408772051058882,1.0
108,2,230.0,-0.0015255024961248762,1.0
109,2,235.0,-0.0014182609911934053,1.0
110,2,240.0,-0.0013189985759288101,1.0
111,2,245.0,-0.0012276555995322947,1.0
112,2,250.0,-0.001143717456078898,1.0
113,2,255.0,-0.001066709919115703,1.0
114,2,260.0,-0.0009960566973411182,1.0
115,2,265.0,-0.000930774107027661,1.0
116,2,270.0,-0.000870074733504065,1.0
117,2,275.0,-0.0008136568128783087,1.0
118,2,280.0,-0.000761305994788432,1.0
119,2,285.0,-0.0007128945796064263,1.0
120,2,290.0,-0.0006685726305641531,1.0
121,2,295.0,-0.0006282407221775493,1.0
122,2,300.0,-0.0005913195068593181,1.0
123,2,305.0,-0.0005572414517418998,1.0
124,2,310.0,-0.0005256746423735846,1.0
125,2,315.0,-0.0004962187052299683,1.0
126,2,320.0,-0.00046838879864877713,1.0
127,2,325.0,-0.0004419875659691082,1.0
128,2,330.0,-0.00041709684425203215,1.0
129,2,335.0,-0.00039369894778220645,1.0
130,2,340.0,-0.0003716981402695155,1.0
131,2,345.0,-0.0003511694013715882,1.0
132,2,350.0,-0.00033221964492247157,1.0
133,2,355.0,-0.00031470920289374704,1.0
134,2,360.0,-0.00029831826831258786,1.0
135,2,365.0,-0.00028280082367956156,1.0
136,2,370.0,-0.0002680712206216977,1.0
137,2,375.0,-0.00025413933154991075,1.0
138,2,380.0,-0.0002410868396589966,1.0
139,2,385.0,-0.0002289899239831377,1.0
140,4,40.0,0.005477926140291973,1.0
141,4,45.0,0.004689032929765897,1.0
142,4,50.0,0.00405614961801687,1.0
143,4,55.0,0.003540465804953866,1.0
144,4,60.0,0.0031144130047695276,1.0
145,4,65.0,0.0027579361558906345,1.0
146,4,70.0,0.002456931978340558,1.0
147,4,75.0,0.0022002922136502233,1.0
148,4,80.0,0.001979878271698446,1.0
149,4,85.0,0.001789224467963018,1.0
150,4,90.0,0.0016231475165838114,1.0
151,4,95.0,0.0014776728730236497,1.0
152,4,100.0,0.0013494381061526103,1.0
153,4,105.0,0.0012356590692948891,1.0
154,4,110.0,0.0011343522294345184,1.0
155,4,115.0,0.0010441042077449852,1.0
156,4,120.0,0.0009644053241801211,1.0
157,4,125.0,0.0008962882831982527,1.0
158,4,130.0,0.0008418306647091141,1.0
159,4,135.0,0.0008012017183847142,1.0
160,4,140.0,0.0007668429046298308,1.0
161,4,145.0,0.0007253339511109366,1.0
162,4,150.0,0.0006690294982806576,1.0
163,4,155.0,0.0006024406591779496,1.0
164,4,160.0,0.0005363012958292921,1.0
165,4,165.0,0.00047902473922787194,1.0
166,4,170.0,0.00043373171082880996,1.0
167,4,175.0,0.00039954480494918754,1.0
168,4,180.0,0.0003738801258221828,1.0
169,4,185.0,0.0003541548488968524,1.0
170,4,190.0,0.0003383815183114779,1.0
171,4,195.0,0.000325173822233169,1.0
172,4,200.0,0.00031352670605926683,1.0
173,4,205.0,0.00030272601380659824,1.0
174,4,210.0,0.000292403175357164,1.0
175,4,215.0,0.00028242978605532224,1.0
176,4,220.0,0.00027270278531325,1.0
177,4,225.0,0.00026315487280452335,1.0
178,4,230.0,0.00025382767754425473,1.0
179,4,235.0,0.00024477318966027023,1.0
180,4,240.0,0.00023596391966530548,1.0
181,4,245.0,0.00022737098925113133,1.0
182,4,250.0,0.0002190050800820985,1.0
183,4,255.0,0.00021087272098494936,1.0
184,4,260.0,0.0002029887719071516,1.0
185,4,265.0,0.0001953982988505778,1.0
186,4,270.0,0.00018812565066399516,1.0
187,4,275.0,0.00018115537407125998,1.0
188,4,280.0,0.0001744681131900839,1.0
189,4,285.0,0.00016804043891581005,1.0
190,4,290.0,0.00016183070126226656,1.0
191,4,295.0,0.00015582256495198197,1.0
192,4,300.0,0.00015003926788177251,1.0
193,4,305.0,0.00014450061329961773,1.0
194,4,310.0,0.00013920635249797136,1.0
195,4,315.0,0.00013416230523488067,1.0
196,4,320.0,0.00012938052179749382,1.0
197,4,325.0,0.00012484940790546926,1.0
198,4,330.0,0.00012053724237108043,1.0
199,4,335.0,0.00011642386915940342,1.0
200,4,340.0,0.00011249738732029956,1.0
201,4,345.0,0.0001087338201613438,1.0
202,4,350.0,0.00010510945640269182,1.0
203,4,355.0,0.00010162261186625615,1.0
204,4,360.0,9.828601408378835e-05,1.0
205,4,365.0,9.510543988622588e-05,1.0
206,4,370.0,9.207366487223483e-05,1.0
207,4,375.0,8.917677538505955e-05,1.0
208,4,380.0,8.639657377997219e-05,1.0
209,4,385.0,8.371713573997603e-05,1.0
210,0,40.0,0.05749674503724061,1.2
211,0,45.0,0.04264212897162863,1.2
212,0,50.0,0.03216865146385817,1.2
213,0,55.0,0.024614877879075445,1.2
214,0,60.0,0.01905397564306511,1.2
215,0,65.0,0.014886966850156542,1.2
216,0,70.0,0.011721292819386817,1.2
217,0,75.0,0.009285337204695354,1.2
218,0,80.0,0.007390963379536155,1.2
219,0,85.0,0.005904597298281226,1.2
220,0,90.0,0.004726000110892423,1.2
221,0,95.0,0.0037835114500407827,1.2
222,0,100.0,0.003020343730621114,1.2
223,0,105.0,0.002390510617075161,1.2
224,0,110.0,0.0018634113148646204,1.2
225,0,115.0,0.001421481796851753,1.2
226,0,120.0,0.0010682742925437164,1.2
227,0,125.0,0.0008481635266089478,1.2
228,0,130.0,0.0008454773882526198,1.2
229,0,135.0,0.0011284850152803304,1.2
230,0,140.0,0.0016067842136936986,1.2
231,0,145.0,0.0020109333589425306,1.2
232,0,150.0,0.002102843317440496,1.2
233,0,155.0,0.0018571241901657693,1.2
234,0,160.0,0.001414493724323456,1.2
235,0,165.0,0.0009350714204620391,1.2
236,0,170.0,0.0005180954434044956,1.2
237,0,175.0,0.00019755031594431176,1.2
238,0,180.0,-3.20112367278109e-05,1.2
239,0,185.0,-0.00018852843674589385,1.2
240,0,190.0,-0.0002897328895246357,1.2
241,0,195.0,-0.00034992097491946827,1.2
242,0,200.0,-0.00038158440431735,1.2
243,0,205.0,-0.00039555987344867696,1.2
244,0,210.0,-0.0003985737737422782,1.2
245,0,215.0,-0.0003937595927324611,1.2
246,0,220.0,-0.00038405037405594945,1.2
247,0,225.0,-0.0003719614817592534,1.2
248,0,230.0,-0.0003579186656723581,1.2
249,0,235.0,-0.00034178378668815154,1.2
250,0,240.0,-0.0003246986953297456,1.2
251,0,245.0,-0.0003078634098459706,1.2
252,0,250.0,-0.0002916814583691117,1.2
253,0,255.0,-0.0002764995761120376,1.2
254,0,260.0,-0.0002624055924298315,1.2
255,0,265.0,-0.00024874519897655044,1.2
256,0,270.0,-0.00023503438297950324,1.2
257,0,275.0,-0.0002214420582204983,1.2
