# ells     kCMB-kCMB
1.168084470542000020e+01 1.820846909342143885e-07
1.593759367224999934e+01 2.007363998286371351e-07
2.174559276040999833e+01 2.153154394691495501e-07
2.967015060278999883e+01 2.233240349593527051e-07
4.048258635628999969e+01 2.224215561345478572e-07
5.523530433109999649e+01 2.111177917574639060e-07
7.536422741615000120e+01 1.895345639619960564e-07
1.028285594297999950e+02 1.599763209168186141e-07
1.403014798522000035e+02 1.267704257881244489e-07
1.914303317860000107e+02 9.493242156145220030e-08
2.611916279594000230e+02 6.799721189149076299e-08
3.563754284891999760e+02 4.668382525637357656e-08
4.862462362329999905e+02 3.018710050812130378e-08
6.634447365048999927e+02 1.838369304567156566e-08
9.052181499767000332e+02 1.082825383255204618e-08
1.235098952421999911e+03 6.084193290262015075e-09
1.685195355742999936e+03 3.305578130798722102e-09
2.299316489134000221e+03 1.737272931492593403e-09
3.137236462933999974e+03 8.875228341704641622e-10
4.280512348289000329e+03 4.423199075952440885e-10
