# ells    kCMB-GC1    kCMB-GC2    kCMB-GC3    kCMB-GC4    kCMB-GC5    kCMB-GC6    kCMB-GC7    kCMB-GC8    kCMB-GC9    kCMB-GC10
1.168084470542000020e+01 1.459869242261030791e-06 7.953357764846850674e-07 5.813728053011998154e-07 4.573334499912598385e-07 3.719748114522622274e-07 3.071897523722529678e-07 2.544427305893738336e-07 2.086013438614263165e-07 1.652441183118719974e-07 1.138353699226818453e-07
1.593759367224999934e+01 1.402973272579656813e-06 8.777468601177254299e-07 6.643766865831679631e-07 5.332837266520419242e-07 4.400201384393516650e-07 3.675392708856447521e-07 3.073994414559790082e-07 2.542697415327968263e-07 2.032386678389994162e-07 1.416076483797828392e-07
2.174559276040999833e+01 1.244568425418584873e-06 9.047048944907246863e-07 7.184226843394290700e-07 5.928767452829863991e-07 4.988273103817284838e-07 4.230900250626499417e-07 3.585031954687964033e-07 3.001101813233433663e-07 2.427930984109384914e-07 1.717509224032079542e-07
2.967015060278999883e+01 1.013861419109220306e-06 8.478733795737793341e-07 7.179185494229486338e-07 6.157216785934963548e-07 5.323356666949236862e-07 4.612225530455737540e-07 3.979050937984600895e-07 3.385800788994382637e-07 2.784223929241508725e-07 2.010170774165956527e-07
4.048258635628999969e+01 7.734482598221516902e-07 7.073100118282529419e-07 6.439775212296104957e-07 5.807731282861687541e-07 5.211904339960499774e-07 4.651839273498904027e-07 4.115854215879182178e-07 3.583444218336594230e-07 3.014750487635115348e-07 2.239056830287705145e-07
5.523530433109999649e+01 5.739753563109102168e-07 5.395953629319417517e-07 5.121793848872452143e-07 4.848201819639970181e-07 4.543049248876328308e-07 4.210880940641980981e-07 3.853660517830254576e-07 3.462875435770000019e-07 3.007998552887817455e-07 2.325254840463521390e-07
7.536422741615000120e+01 4.074309223950036494e-07 4.145860831460962303e-07 3.852795452530932430e-07 3.666469799974766568e-07 3.515931174054493317e-07 3.360339873305738602e-07 3.181572459584822040e-07 2.964552897660332573e-07 2.680711989411996604e-07 2.187329876398308574e-07
1.028285594297999950e+02 2.619888400672794626e-07 3.067873875155386695e-07 3.011266588055407709e-07 2.824657706840313785e-07 2.652186261421718140e-07 2.510230780777750175e-07 2.386090937963894653e-07 2.260162136213408948e-07 2.104989105861573632e-07 1.814419636475234843e-07
1.403014798522000035e+02 1.625008783001891527e-07 1.936600743386115375e-07 2.059994565786923308e-07 2.120525574789375291e-07 2.080570809055921140e-07 1.978130320746020921e-07 1.851051304138378357e-07 1.716305861957480870e-07 1.571990094759082505e-07 1.362910655354246238e-07
1.914303317860000107e+02 9.580869515870398394e-08 1.241370910500362555e-07 1.298041932065199212e-07 1.300712514747322524e-07 1.329424290895220334e-07 1.365572267889118715e-07 1.375600346048867283e-07 1.339835767831407899e-07 1.247042272315808252e-07 1.054578849839538841e-07
2.611916279594000230e+02 5.415428366376661307e-08 7.298344825143847096e-08 7.987399994581902575e-08 8.524922221990118395e-08 8.708200319334944094e-08 8.524475947191210401e-08 8.284475214317351457e-08 8.206354115501208716e-08 8.254055269378831607e-08 7.886677476747367186e-08
3.563754284891999760e+02 2.943288294700807233e-08 4.150716339226300735e-08 4.670244245851625768e-08 4.977741836086927881e-08 5.102520255063976086e-08 5.235660688478567263e-08 5.440208075797582250e-08 5.526456292745137185e-08 5.301147856793468870e-08 4.756514043571621080e-08
4.862462362329999905e+02 1.547476537693772733e-08 2.265647365933029369e-08 2.598206494245894575e-08 2.815169428500354609e-08 2.958920817415004138e-08 3.088320280434155782e-08 3.193115507320059686e-08 3.186263385150832290e-08 3.126529873113647782e-08 3.130285329042511343e-08
6.634447365048999927e+02 7.902925145331817618e-09 1.194279795768215944e-08 1.394560365874145594e-08 1.533243089821094197e-08 1.636593900661009906e-08 1.716831130818511784e-08 1.785626001048407557e-08 1.822445983632692958e-08 1.838826253320157552e-08 1.834647611719168066e-08
9.052181499767000332e+02 3.935866901889640571e-09 6.110781147465264473e-09 7.248770644495811766e-09 8.066889087467930584e-09 8.706175568512390664e-09 9.224731589538480058e-09 9.650704077387722429e-09 1.001255014542525257e-08 1.024482236915530487e-08 1.028007338013363331e-08
1.235098952421999911e+03 1.917775578040975878e-09 3.047246253402137034e-09 3.664062974149236446e-09 4.120811611402690176e-09 4.488085796522891973e-09 4.795854011849853797e-09 5.060384451326770018e-09 5.289687727992750064e-09 5.484834528813317271e-09 5.573282728445003817e-09
1.685195355742999936e+03 9.169660870572924009e-10 1.486296681430777638e-09 1.808056518841052202e-09 2.051963522855748814e-09 2.252473372376880843e-09 2.424533589645271627e-09 2.576628998281215587e-09 2.713773770433067380e-09 2.838287019079299680e-09 2.924322389871759487e-09
2.299316489134000221e+03 4.312401331191207753e-10 7.111195530961633809e-10 8.738481150422683248e-10 9.995229932131363120e-10 1.104629705413938104e-09 1.196479463124139021e-09 1.279405793301007639e-09 1.356280734926512510e-09 1.429245650647456042e-09 1.490366895116398805e-09
3.137236462933999974e+03 1.999180426999075664e-10 3.346253720635350218e-10 4.147986623489907266e-10 4.776801822164655281e-10 5.310185997017677445e-10 5.783052736542048383e-10 6.216897655986949621e-10 6.627273798797547788e-10 7.029292443090631880e-10 7.406102464691360938e-10
4.280512348289000329e+03 9.150759889580971884e-11 1.551781472752629578e-10 1.938332982809010446e-10 2.245401295052449145e-10 2.508852085863194980e-10 2.745126121156680249e-10 2.964714046733469076e-10 3.175793167368315997e-10 3.387520296605716464e-10 3.601201453673827234e-10
