# ells    kCMB-WL1    kCMB-WL2    kCMB-WL3    kCMB-WL4    kCMB-WL5    kCMB-WL6    kCMB-WL7    kCMB-WL8    kCMB-WL9    kCMB-WL10
1.168084470542000020e+01 8.994366803923256894e-09 2.839923401985683807e-08 3.888169198031773838e-08 4.701884378344185471e-08 5.405815914786922278e-08 6.057075965231758855e-08 6.694740697306794347e-08 7.360157747326085289e-08 8.127477268960176086e-08 9.325313968466994890e-08
1.593759367224999934e+01 6.072262646081421991e-09 2.378060992351529829e-08 3.444336392997708626e-08 4.301030757275599071e-08 5.058378971383280141e-08 5.770547409809976776e-08 6.477302685885635797e-08 7.223760415963726305e-08 8.094763536623208945e-08 9.474875503568381220e-08
2.174559276040999833e+01 3.679847597287947664e-09 1.839801194886440017e-08 2.840688897445740901e-08 3.682650487561555479e-08 4.448668507408178820e-08 5.184530870143279213e-08 5.927708769974388355e-08 6.724969114916349539e-08 7.669537319679987583e-08 9.195213135414487280e-08
2.967015060278999883e+01 2.082859906822917755e-09 1.326944879086454323e-08 2.176872581384518351e-08 2.934500400471960836e-08 3.650060621238910154e-08 4.356912190140550101e-08 5.087328443109485047e-08 5.886991326483495494e-08 6.853348963107552741e-08 8.453494780485956252e-08
4.048258635628999969e+01 1.096566252878017066e-09 9.214812934786738251e-09 1.573234466359919308e-08 2.188139493615170799e-08 2.794481511241524849e-08 3.414209738541573729e-08 4.073252554154043875e-08 4.813672182353539625e-08 5.731446549124936290e-08 7.300780652427387369e-08
5.523530433109999649e+01 3.864968818608563364e-10 6.264483474519914023e-09 1.104703529325009131e-08 1.563557619883114987e-08 2.029932617314042981e-08 2.521688576867138803e-08 3.060472052475200373e-08 3.683558686025006274e-08 4.479329523754807483e-08 5.894913041594653594e-08
7.536422741615000120e+01 -4.458396441265711415e-11 3.867404304053645565e-09 7.464543087079732593e-09 1.087287197120920260e-08 1.431409177092353554e-08 1.796542084795283888e-08 2.202422170455178507e-08 2.681307807064564311e-08 3.308736352397768176e-08 4.470325952190345311e-08
1.028285594297999950e+02 -1.332192254441202938e-10 2.120431975150577577e-09 4.517855974801630828e-09 7.024042396412859323e-09 9.606121235313839908e-09 1.233559549929818243e-08 1.534950464673298091e-08 1.889661405594483519e-08 2.356463334283613382e-08 3.237847839008886826e-08
1.403014798522000035e+02 -1.461636189873866243e-10 1.217599926123243847e-09 2.621322335910442919e-09 4.132674517190885367e-09 5.838745531755450623e-09 7.768223322267697643e-09 9.977024811287021966e-09 1.261476525229277219e-08 1.609342932791902661e-08 2.263850481891744796e-08
1.914303317860000107e+02 -1.165438140971506410e-10 6.209101278119103481e-10 1.500041684253332683e-09 2.464877381062016138e-09 3.489620091999632595e-09 4.633738062231420834e-09 5.994371698720515349e-09 7.717412209532806167e-09 1.012550091763243558e-08 1.488062506394598534e-08
2.611916279594000230e+02 -7.997375570885559152e-11 3.165755868705629578e-10 8.024657978423849089e-10 1.342451192379107491e-09 1.971195800142989214e-09 2.713068238972319531e-09 3.582929077073795839e-09 4.641206390292267508e-09 6.092375692763331706e-09 9.087464549099235645e-09
3.563754284891999760e+02 -4.960725368781363110e-11 1.533043379559040483e-10 4.160488316518304503e-10 7.235948249413309411e-10 1.083796589573817140e-09 1.497756451513555554e-09 1.987673218167156252e-09 2.620414759092930448e-09 3.540487378321427565e-09 5.431015650563106497e-09
4.862462362329999905e+02 -2.874393185572508074e-11 7.224724618717226661e-11 2.101682626814980297e-10 3.750106033205349156e-10 5.695193475546364714e-10 7.984348793556063749e-10 1.078074935796150319e-09 1.444782096771962707e-09 1.969362645733991278e-09 3.060329587464946972e-09
6.634447365048999927e+02 -1.580189548359330732e-11 3.324228283502173419e-11 1.033338789260450031e-10 1.888382794355778648e-10 2.910493306413364517e-10 4.140332032241925561e-10 5.656184918920550394e-10 7.643890337595291685e-10 1.052992766126832696e-09 1.673364194346105322e-09
9.052181499767000332e+02 -8.335114431722703778e-12 1.498606563697998015e-11 4.969657941726540158e-11 9.284596348918790356e-11 1.450975540041609949e-10 2.087072952690908664e-10 2.881566739846615860e-10 3.926246958606028578e-10 5.466139288032994745e-10 8.839556208384796365e-10
1.235098952421999911e+03 -4.251451645918788770e-12 6.640956710389480301e-12 2.345566677738641214e-11 4.470661143012736737e-11 7.074764486523408559e-11 1.027620152385279816e-10 1.431006828137320210e-10 1.966593286660280924e-10 2.761807100234200479e-10 4.532978101988529174e-10
1.685195355742999936e+03 -2.109726133565403466e-12 2.901070358402571018e-12 1.089540975564310750e-11 2.114629529286934101e-11 3.383842025085111116e-11 4.957624159325648772e-11 6.956099305747398375e-11 9.629739898300320651e-11 1.363270621646252073e-10 2.266009813290550736e-10
2.299316489134000221e+03 -1.023007102292023614e-12 1.251980545170963606e-12 4.990945379458165854e-12 9.847450517276350785e-12 1.591553244867328907e-11 2.349626137870422209e-11 3.318786726228438057e-11 4.623966551562907123e-11 6.592187936454118029e-11 1.107934480142074210e-10
3.137236462933999974e+03 -4.865437442235985692e-13 5.348351376664853364e-13 2.259267111277454797e-12 4.524599099353606629e-12 7.377685842158993281e-12 1.096544060415690258e-11 1.557944001539232154e-11 2.182920642548057941e-11 3.131290236174673668e-11 5.313889085594562042e-11
4.280512348289000329e+03 -2.275710320863869836e-13 2.264587126162522635e-13 1.011924760970877390e-12 2.054264575090393300e-12 3.376355372973735585e-12 5.048502373939390779e-12 7.210095726578481641e-12 1.015279244620488869e-11 1.464262788606304286e-11 2.506142551622733603e-11
