# ells    n1    n2    n3    n4    n5    n6    n7    n8    n9    n10
2.000000000000000000e+00 3.759696592243355402e-16 2.851288485790830749e-17 1.247156474277645059e-17 6.741952729638243155e-18 3.982276220912831454e-18 2.442725673644912546e-18 1.504914035798069424e-18 8.987227536834958139e-19 4.879340338041591608e-19 1.879272381051869735e-19
3.000000000000000000e+00 2.170968475816105135e-16 1.931057131423625489e-17 8.531828865520930160e-18 4.637114311279717503e-18 2.748986266070344200e-18 1.690885082802782217e-18 1.044091437037874974e-18 6.247829057926791289e-19 3.398728563313686034e-19 1.311945960351582868e-19
4.000000000000000000e+00 1.407848159220166943e-16 1.424831869864758443e-17 6.359194157572256295e-18 3.475523485774457239e-18 2.068224656513883458e-18 1.275868869836119466e-18 7.897337433069272856e-19 4.735936200765258802e-19 2.581674623576285819e-19 9.989389798933776283e-20
5.000000000000000000e+00 9.770080057464553552e-17 1.106399424068613263e-17 4.987424959338629428e-18 2.740975173021959514e-18 1.637400764608567539e-18 1.013115351477923322e-18 6.286618378276756418e-19 3.778444464805646713e-19 2.064222586420102510e-19 8.007126442228414967e-20
6.000000000000000000e+00 7.115788918490630623e-17 8.888913439548791589e-18 4.046300797504202049e-18 2.235980003292773619e-18 1.340855247964350610e-18 8.321176356060809415e-19 5.176512728758899088e-19 3.118319468167102840e-19 1.707397115023343654e-19 6.640025103265951377e-20
7.000000000000000000e+00 5.366548314356139013e-17 7.317596009888342844e-18 3.363206290266980023e-18 1.868576580933267514e-18 1.124787484174870453e-18 7.001043549129111347e-19 4.366235613990478347e-19 2.636217461696411555e-19 1.446687395259710777e-19 5.640833484486121932e-20
8.000000000000000000e+00 4.155802397231659142e-17 6.135419576115022678e-18 2.846774326888346113e-18 1.590102183692107270e-18 9.607491891452870759e-19 5.997614622132824131e-19 3.749782656959546983e-19 2.269166666551995894e-19 1.248071772129009497e-19 4.879202112126779285e-20
9.000000000000000000e+00 3.285212695360412747e-17 5.218175265433531901e-18 2.444078019115382703e-18 1.372383254033645339e-18 8.322740258944836040e-19 5.210715465028570484e-19 3.265859584634855071e-19 1.980779502192482433e-19 1.091902906541768342e-19 4.279899380218740459e-20
1.000000000000000000e+01 2.642893700830365318e-17 4.489173414049050512e-18 2.122348508497350515e-18 1.197975076644055553e-18 7.291657043155980000e-19 4.578320495883331235e-19 2.876531210054989336e-19 1.748548749532310363e-19 9.660356833368891379e-20 3.796452699134511996e-20
1.100000000000000000e+01 2.157705646764303592e-17 3.898354871646972406e-18 1.860203414137973353e-18 1.055490002662131262e-18 6.447774619915821075e-19 4.059995454394806727e-19 2.557059284688264168e-19 1.557797354140833040e-19 8.625541215171028795e-20 3.398595866016720901e-20
1.200000000000000000e+01 1.782909042681657202e-17 3.411878791260802168e-18 1.643169809932343315e-18 9.371806196422001478e-19 5.745833168397509731e-19 3.628236945753594206e-19 2.290616965626964594e-19 1.398543321744630475e-19 7.760751221667508726e-20 3.065757208205052967e-20
1.300000000000000000e+01 1.488339721623552132e-17 3.005872960717805725e-18 1.461051314610935019e-18 8.376079839643541830e-19 5.153925252176653067e-19 3.263670686466830331e-19 2.065367433760355249e-19 1.263762860651184759e-19 7.028112945402160743e-20 2.783465621204071655e-20
